t,x,y,yaw,vx,vy,v,omega
0.0,0.11080536440239873,4.03827748718441,-1.5622228316823623,-0.001188463374028822,0.009048289601570945,-0.009126006240700521,-0.036279681009532445
0.0030450820922851,0.11080536440239873,4.03827748718441,-1.562342259521742,-0.0008297013325095473,0.007364974134443063,-0.007411561799120578,-0.028797841401265945
0.0030875205993652,0.11080536440239873,4.038307590277295,-1.562342259521742,-0.000515841617896401,0.005835079835621575,-0.005857836568463778,-0.0220932478828627
0.0247280597686767,0.11078135437095546,4.038307590277295,-1.562342259521742,-0.0002468842301893831,0.004458606705106486,-0.004465436773030911,-0.0161659004543227
0.0378773212432861,0.11075723676947372,4.038307590277295,-1.5623871476218385,-2.2829169388493447e-05,0.00323555474289779,-0.0032356352800127753,-0.01101579911564596
0.0410330295562744,0.11080043783231323,4.03841935681468,-1.5623871476218385,0.00015632356450626773,0.00216592394899549,-0.0021715578761921507,-0.006642943866832468
0.0668230056762695,0.11080043783231323,4.03844083092329,-1.5627686228965916,0.00029057397149490045,0.0012497143233995854,-0.0012830507094500991,-0.003047334707882225
0.0668771266937255,0.11080043783231323,4.03844083092329,-1.5632400228585386,0.0003799220515774046,0.0004869258661100763,-0.0006176063182657962,-0.00022897163879523924
0.0740234851837158,0.11080043783231323,4.03844083092329,-1.5627686228965916,0.00042436780475378047,-0.00012244142287303616,0.0004416785434529466,0.0018121453404284938
0.0973355770111084,0.11080043783231323,4.0384306912662415,-1.5627686228965916,0.0004239112310240277,-0.0005783875435497531,0.00071710032932765,0.003076016229788974
0.0973639488220214,0.11080043783231323,4.038407208733611,-1.5626978175837172,0.0003785523303861879,-0.0008809124959765491,0.0009588058679463987,0.0035626410293131405
0.0973868370056152,0.1108089796623255,4.038405390985492,-1.5626978175837172,0.00012515803662221242,-0.001297222824912847,0.0013032465582559557,0.003877691275366857
0.1054742336273193,0.1108089796623255,4.038401468652838,-1.5626978175837172,-0.00017441462245130351,-0.0013475606624884229,0.0013588010154585064,0.003207555888077085
0.108727216720581,0.11080710365584288,4.038401468652838,-1.5626078478822378,-0.0005270174472730219,-0.0011422457064296232,0.0012579636892959517,-0.0004963797900621181
0.1254301071166992,0.1108089796623255,4.038399354802699,-1.5626129060899294,-0.0008331577363561993,-0.0006145850612138126,0.0010353099106631656,-0.003942699542965777
0.1592006683349609,0.1108089796623255,4.0383473209291365,-1.5626129060899294,-0.0007825386337916296,0.0003743511893996576,-0.0008674707639923137,-0.0070823456485580305
0.1592943668365478,0.11080710365584288,4.0383473209291365,-1.5626129060899294,-0.0007143707131298874,0.0008894486495483189,-0.0011408086675516768,-0.010569892080763976
0.1593148708343505,0.11077240446283045,4.0383473209291365,-1.5626129060899294,-0.00047503535603244523,0.001393789556426439,-0.0014725175438969418,-0.01213247944164908
0.159320592880249,0.1107712379168858,4.038436402553254,-1.5628360201292295,-0.00016781180863548184,0.0016143271846078555,-0.0016230258969226082,-0.009608498664482434
0.1676864624023437,0.1107712379168858,4.038443793640212,-1.563252510680203,0.0002466659624724074,0.001411893682794263,-0.0014332787127969164,-0.008561187627185274
0.1921930313110351,0.1107712379168858,4.038443793640212,-1.563293991351056,0.0006580259014969184,0.0009118858289258736,-0.00112451494077965,-0.0055674494965628485
0.1922271251678466,0.11078359059105423,4.038447265398025,-1.563293991351056,0.0009992838280648009,3.598444802466183e-05,-0.0009999315224211516,-0.001633556062473951
0.1996123790740966,0.11078661918453765,4.038447265398025,-1.563293991351056,0.0011021460817507087,-0.0009839570476888326,0.0014774631830319711,0.005899750766249823
0.2218267917633056,0.11079358078203905,4.038431502154278,-1.562803641066724,0.0009591825650310179,-0.0016586563032503499,0.0019160302516848735,0.011121371591086282
0.221848726272583,0.1108288474275854,4.038427565575822,-1.562778094653397,0.0007034818828129119,-0.002089642557599136,0.0022048793114307773,0.01361692103073664
0.228358507156372,0.11084013463853393,4.038403454772072,-1.562778094653397,0.00035998561406515306,-0.0024418610569130195,0.00246825344395632,0.012032403484487864
0.2509322166442871,0.11084013463853393,4.038402699673576,-1.562778094653397,-6.283096089578638e-05,-0.002051249770717245,0.002052211819358479,0.009932602444528316
0.2509393692016601,0.1108288474275854,4.038340128044688,-1.5627335260143569,-0.0005835971911796536,-0.0011618020859969214,0.0013001422109060144,0.006893175929125084
0.2660775184631347,0.11082543563882405,4.038314623416857,-1.5626577860091126,-0.000998851808934026,0.0006846512813347694,-0.00121097164014857,0.002485057215156017
0.2841253280639648,0.1108011611627832,4.038314623416857,-1.5623724449881975,-0.001142863977161894,0.001868682858284565,-0.0021904596995016533,-0.0019914531036866467
0.284189224243164,0.11078078009269085,4.038314623416857,-1.5623724449881975,-0.000936955067955457,0.0026527487582714837,-0.0028133540079197843,-0.004711036332128993
0.2913229465484619,0.11076236249448992,4.0383893041694465,-1.5623724449881975,-0.0006001897358051053,0.0032426852473250722,-0.0032977621703490787,-0.0065617802464766894
0.3010716438293457,0.11076236249448992,4.038462324391961,-1.5631757158509416,-0.00016601799855266858,0.0032289319684606355,-0.003233197122476529,-0.006238648470920816
0.324625015258789,0.11078078009269085,4.038466657639304,-1.5631757158509416,0.0002764150674613858,0.0026838075277586526,-0.002698004472860209,-0.0031239190817559104
0.3246426582336426,0.11078910421561435,4.0384777803027525,-1.5631757158509416,0.000774884901407806,0.001249749347926432,-0.0014704829285212147,-0.0008296716264152293
0.3537018299102783,0.11079321380177819,4.038528327262273,-1.5626607219975155,0.0011248510746901183,-5.737134058381166e-05,0.0011263131939881989,0.005404469951295288
0.3537623882293701,0.11079841753925401,4.038528327262273,-1.5626607219975155,0.0013196870606380778,-0.0011502509446355003,0.0017506145131497197,0.009025304606181561
0.3537704944610595,0.11081380138299995,4.038528327262273,-1.5626607219975155,0.0011849725635422054,-0.002114803924323949,0.002424160806275805,0.010718896522772359
0.356870174407959,0.11085445857511472,4.038390667171834,-1.5626607219975155,0.0009327119621531585,-0.002611001214520625,0.002772594262883009,0.010510246079388108
0.3787820339202881,0.11085445857511472,4.038383082879229,-1.5626607219975155,0.0005539064488407283,-0.0024413824194402522,0.0025034297417781243,0.009031578543586716
0.3849267959594726,0.11082460937287464,4.038375583262589,-1.5625468137905152,0.00017336155448011842,-0.0019845898920587413,0.0019921474012315177,0.0046915804414014994
