row_type,timestamp_s,elapsed_s,v_real,w_real,brake,x,y,distance_m,heading_error_rad,cross_track_error_m,controller_error,path_index,path_x,path_y
planned_path,,,,,,,,,,,,0,-0.015529612929899628,0.013799056587387781
planned_path,,,,,,,,,,,,1,0.03447038781515843,-0.03620094415767028
planned_path,,,,,,,,,,,,2,0.08447038856021649,-0.08620094490272834
planned_path,,,,,,,,,,,,3,0.13447038930527455,-0.1362009456477864
planned_path,,,,,,,,,,,,4,0.1844703900503326,-0.18620094639284446
planned_path,,,,,,,,,,,,5,0.23447039079539067,-0.23620094713790252
planned_path,,,,,,,,,,,,6,0.28447039154044873,-0.2862009478829606
planned_path,,,,,,,,,,,,7,0.3344703922855068,-0.33620094862801864
planned_path,,,,,,,,,,,,8,0.38447039303056485,-0.3862009493730767
planned_path,,,,,,,,,,,,9,0.4344703937756229,-0.43620095011813476
planned_path,,,,,,,,,,,,10,0.48447039452068097,-0.4862009508631928
planned_path,,,,,,,,,,,,11,0.534470395265739,-0.5362009516082509
planned_path,,,,,,,,,,,,12,0.5844703960107971,-0.5862009523533089
planned_path,,,,,,,,,,,,13,0.6344703967558551,-0.5862009523533089
planned_path,,,,,,,,,,,,14,0.6844703975009132,-0.5862009523533089
planned_path,,,,,,,,,,,,15,0.7344703982459713,-0.5862009523533089
planned_path,,,,,,,,,,,,16,0.7844703989910293,-0.5862009523533089
planned_path,,,,,,,,,,,,17,0.8344703997360874,-0.5862009523533089
planned_path,,,,,,,,,,,,18,0.8844704004811454,-0.5862009523533089
planned_path,,,,,,,,,,,,19,0.9344704012262035,-0.5862009523533089
planned_path,,,,,,,,,,,,20,0.9844704019712616,-0.5862009523533089
planned_path,,,,,,,,,,,,21,1.0344704027163196,-0.5862009523533089
planned_path,,,,,,,,,,,,22,1.0844704034613777,-0.5862009523533089
planned_path,,,,,,,,,,,,23,1.1344704042064357,-0.5862009523533089
planned_path,,,,,,,,,,,,24,1.1844704049514938,-0.5862009523533089
planned_path,,,,,,,,,,,,25,1.2344704056965519,-0.5862009523533089
planned_path,,,,,,,,,,,,26,1.28447040644161,-0.5862009523533089
planned_path,,,,,,,,,,,,27,1.334470407186668,-0.5862009523533089
planned_path,,,,,,,,,,,,28,1.384470407931726,-0.636200953098367
planned_path,,,,,,,,,,,,29,1.434470408676784,-0.636200953098367
planned_path,,,,,,,,,,,,30,1.4844704094218422,-0.636200953098367
planned_path,,,,,,,,,,,,31,1.5344704101669002,-0.636200953098367
planned_path,,,,,,,,,,,,32,1.5844704109119583,-0.636200953098367
planned_path,,,,,,,,,,,,33,1.6344704116570163,-0.636200953098367
planned_path,,,,,,,,,,,,34,1.6844704124020744,-0.636200953098367
planned_path,,,,,,,,,,,,35,1.7344704131471325,-0.636200953098367
planned_path,,,,,,,,,,,,36,1.7844704138921905,-0.636200953098367
planned_path,,,,,,,,,,,,37,1.8344704146372486,-0.636200953098367
planned_path,,,,,,,,,,,,38,1.8844704153823066,-0.636200953098367
planned_path,,,,,,,,,,,,39,1.9344704161273647,-0.636200953098367
planned_path,,,,,,,,,,,,40,1.9844704168724228,-0.636200953098367
planned_path,,,,,,,,,,,,41,2.034470417617481,-0.636200953098367
planned_path,,,,,,,,,,,,42,2.084470418362539,-0.636200953098367
planned_path,,,,,,,,,,,,43,2.134470419107597,-0.636200953098367
planned_path,,,,,,,,,,,,44,2.184470419852655,-0.636200953098367
planned_path,,,,,,,,,,,,45,2.234470420597713,-0.636200953098367
planned_path,,,,,,,,,,,,46,2.284470421342771,-0.636200953098367
planned_path,,,,,,,,,,,,47,2.334470422087829,-0.636200953098367
planned_path,,,,,,,,,,,,48,2.3844704228328872,-0.636200953098367
planned_path,,,,,,,,,,,,49,2.4344704235779453,-0.636200953098367
