timestamp_s,elapsed_s,robot_x,robot_y,robot_yaw,path_x,path_y,delta,cross_track_error,heading_error
0.013000000000000001,0.011000000000000001,-18.44,4.29,1.5699999999999998,,,0.0,0.0,0.0
0.04,0.038,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.055,0.053,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.07200000000000001,0.07,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.093,0.091,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.116,0.114,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.136,0.134,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.153,0.151,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.17900000000000002,0.17700000000000002,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.197,0.195,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.264,0.262,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.269,0.267,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.27,0.268,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.332,0.33,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.333,0.331,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.337,0.335,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.341,0.339,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.375,0.373,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.395,0.393,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.42100000000000004,0.41900000000000004,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.46,0.458,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.47800000000000004,0.47600000000000003,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.47900000000000004,0.47700000000000004,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.48000000000000004,0.47800000000000004,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.49200000000000005,0.49000000000000005,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.518,0.516,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.537,0.535,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.554,0.552,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.5810000000000001,0.5790000000000001,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.5930000000000001,0.5910000000000001,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.612,0.61,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.635,0.633,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.652,0.65,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.675,0.673,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.6970000000000001,0.6950000000000001,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.7190000000000001,0.7170000000000001,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.7310000000000001,0.7290000000000001,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.758,0.756,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.78,0.778,-18.439999999999998,4.290000000006462,1.5699999999999998,,,0.0,0.0,0.0
0.799,0.797,-18.439999999999998,4.290000000006622,1.5699999999999998,,,0.0,0.0,0.0
0.8190000000000001,0.8170000000000001,-18.439999999999998,4.290000000006782,1.5699999999999998,,,0.0,0.0,0.0
0.8350000000000001,0.8330000000000001,-18.439999999999998,4.290000000006942,1.5699999999999998,,,0.0,0.0,0.0
0.8530000000000001,0.8510000000000001,-18.439999999999998,4.290000000007102,1.5699999999999998,,,0.0,0.0,0.0
0.8720000000000001,0.8700000000000001,-18.439999999999998,4.290000000007262,1.5699999999999998,,,0.0,0.0,0.0
0.893,0.891,-18.439999999999998,4.290000000007422,1.5699999999999998,,,0.0,0.0,0.0
0.915,0.913,-18.439999999999998,4.2900000000075815,1.5699999999999998,,,0.0,0.0,0.0
0.932,0.93,-18.439999999999998,4.290000000007741,1.5699999999999998,,,0.0,0.0,0.0
0.9590000000000001,0.9570000000000001,-18.439999999999998,4.290000000007901,1.5699999999999998,,,0.0,0.0,0.0
0.9810000000000001,0.9790000000000001,-18.439999999999998,4.290000000008061,1.5699999999999998,,,0.0,0.0,0.0
1.0,0.998,-18.439999999999998,4.290000000008221,1.5699999999999998,,,0.0,0.0,0.0
1.021,1.019,-18.439999999999998,4.290000000008381,1.5699999999999998,,,0.0,0.0,0.0
1.037,1.035,-18.439999999999998,4.290000000008541,1.5699999999999998,,,0.0,0.0,0.0
