timestamp_s,elapsed_s,robot_x,robot_y,robot_yaw,path_x,path_y,delta,cross_track_error,heading_error
0.017,0.015000000000000001,-18.44,4.29,1.5699999999999998,,,0.0,0.0,0.0
0.04,0.038,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.060000000000000005,0.058,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.079,0.077,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.099,0.097,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.11800000000000001,0.116,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.138,0.136,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.155,0.153,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.17700000000000002,0.17500000000000002,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.194,0.192,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.21300000000000002,0.21100000000000002,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.24000000000000002,0.23800000000000002,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.26,0.258,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.281,0.279,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.29600000000000004,0.29400000000000004,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.313,0.311,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.332,0.33,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.35400000000000004,0.35200000000000004,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.376,0.374,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.399,0.397,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.41800000000000004,0.41600000000000004,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.43200000000000005,0.43000000000000005,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.454,0.452,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.47500000000000003,0.47300000000000003,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.501,0.499,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.519,0.517,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.54,0.538,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.561,0.559,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.5810000000000001,0.5790000000000001,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.6000000000000001,0.5980000000000001,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.62,0.618,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.637,0.635,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.659,0.657,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.676,0.674,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.6970000000000001,0.6950000000000001,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.7180000000000001,0.7160000000000001,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.74,0.738,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.756,0.754,-18.44,4.29,1.57,,,0.0,0.0,0.0
0.773,0.771,-18.439999999999998,4.290000000006462,1.5699999999999998,,,0.0,0.0,0.0
0.796,0.794,-18.439999999999998,4.290000000006622,1.5699999999999998,,,0.0,0.0,0.0
0.8170000000000001,0.8150000000000001,-18.439999999999998,4.290000000006782,1.5699999999999998,,,0.0,0.0,0.0
0.8400000000000001,0.8380000000000001,-18.439999999999998,4.290000000006942,1.5699999999999998,,,0.0,0.0,0.0
0.8600000000000001,0.8580000000000001,-18.439999999999998,4.290000000007102,1.5699999999999998,,,0.0,0.0,0.0
0.876,0.874,-18.439999999999998,4.290000000007262,1.5699999999999998,,,0.0,0.0,0.0
0.893,0.891,-18.439999999999998,4.290000000007422,1.5699999999999998,,,0.0,0.0,0.0
0.92,0.918,-18.439999999999998,4.2900000000075815,1.5699999999999998,,,0.0,0.0,0.0
0.9400000000000001,0.9380000000000001,-18.439999999999998,4.290000000007741,1.5699999999999998,,,0.0,0.0,0.0
0.9550000000000001,0.9530000000000001,-18.439999999999998,4.290000000007901,1.5699999999999998,,,0.0,0.0,0.0
0.9720000000000001,0.9700000000000001,-18.439999999999998,4.290000000008061,1.5699999999999998,,,0.0,0.0,0.0
0.9970000000000001,0.9950000000000001,-18.439999999999998,4.290000000008221,1.5699999999999998,,,0.0,0.0,0.0
1.02,1.018,-18.439999999999998,4.290000000008381,1.5699999999999998,,,0.0,0.0,0.0
1.037,1.035,-18.439999999999998,4.290000000008541,1.5699999999999998,,,0.0,0.0,0.0
1.061,1.059,-18.439999999999998,4.290000000008701,1.5699999999999998,,,0.0,0.0,0.0
1.079,1.077,-18.439999999999998,4.2900000000088605,1.5699999999999998,,,0.0,0.0,0.0
1.096,1.094,-18.439999999999998,4.29000000000902,1.5699999999999998,,,0.0,0.0,0.0
1.116,1.114,-18.439999999999998,4.29000000000918,1.5699999999999998,,,0.0,0.0,0.0
1.1400000000000001,1.1380000000000001,-18.439999999999998,4.29000000000934,1.5699999999999998,,,0.0,0.0,0.0
1.159,1.157,-18.439999999999998,4.2900000000095,1.5699999999999998,,,0.0,0.0,0.0
1.18,1.178,-18.439999999999998,4.29000000000966,1.5699999999999998,,,0.0,0.0,0.0
1.199,1.197,-18.439999999999998,4.29000000000982,1.5699999999999998,,,0.0,0.0,0.0
1.22,1.218,-18.439999999999998,4.29000000000998,1.5699999999999998,,,0.0,0.0,0.0
1.241,1.239,-18.439999999999998,4.2900000000101395,1.5699999999999998,,,0.0,0.0,0.0
1.259,1.257,-18.439999999999998,4.290000000010299,1.5699999999999998,,,0.0,0.0,0.0
1.276,1.274,-18.439999999999998,4.290000000010459,1.5699999999999998,,,0.0,0.0,0.0
1.2930000000000001,1.2910000000000001,-18.439999999999998,4.290000000010619,1.5699999999999998,,,0.0,0.0,0.0
1.316,1.314,-18.439999999999998,4.290000000010779,1.5699999999999998,,,0.0,0.0,0.0
1.332,1.33,-18.439999999999998,4.290000000010939,1.5699999999999998,,,0.0,0.0,0.0
1.358,1.356,-18.439999999999998,4.290000000011099,1.5699999999999998,,,0.0,0.0,0.0
1.381,1.379,-18.439999999999998,4.290000000011259,1.5699999999999998,,,0.0,0.0,0.0
1.395,1.393,-18.439999999999998,4.2900000000114185,1.5699999999999998,,,0.0,0.0,0.0
