timestamp_s,elapsed_s,v_real,w_real,brake,x,y,distance_m
659.903,1.2939999999999827,0.20010468994128097,-1.5,0,0.0,0.0,0.0
660.002,1.3929999999999154,0.20012787571054005,-1.5,0,0.0,0.0,0.0
660.113,1.504000000000019,0.20017586637895224,-1.5,0,0.0,0.0,0.0
660.199,1.5899999999999181,0.20054216437672837,-1.5,0,0.0,0.0,0.0
660.303,1.69399999999996,0.20151218526054937,-1.5,0,0.0,0.0,0.0
660.404,1.794999999999959,0.20359833180304435,-1.5,0,0.0,0.0,0.0
660.513,1.9039999999999964,0.2072626114401976,-1.5,0,0.0,0.0,0.0
660.607,1.9979999999999336,0.2100305313025681,-1.5,0,0.0,0.0,0.0
660.714,2.105000000000018,0.2172084235549431,-1.5,0,0.0,0.0,0.0
660.803,2.19399999999996,0.23746145673379712,-1.5,0,0.0,0.0,0.0
660.913,2.3039999999999736,0.29073531641593997,-1.5,0,0.0,0.0,0.0
661.003,2.3940000000000055,0.42218381213908807,-1.5,0,0.0,0.0,0.0
661.112,2.502999999999929,0.2985549077580095,-0.30099059322279914,0,0.0,0.0,0.0
661.213,2.603999999999928,0.3341774527817619,-0.28720272362213706,0,0.0,0.0,0.0
661.314,2.7049999999999272,0.3515218532749217,-0.3109219581058988,0,0.0,0.0,0.0
661.412,2.8029999999999973,0.3702705167027922,-0.33979067533720975,0,0.0,0.0,0.0
661.517,2.9080000000000155,0.3930258363898389,-0.37577375658468243,0,0.0,0.0,0.0
661.617,3.0079999999999245,0.7399642636586117,-1.5,0,0.0,0.0,0.0
661.716,3.106999999999971,0.8398848783636315,-1.5,0,0.0,0.0,0.0
661.815,3.2060000000000173,1.2335035264691883,-1.5,0,0.0,0.0,0.0
661.909,3.2999999999999545,2.426504407529805,-1.1852665639644377,0,0.0,0.0,0.0
661.925,3.3159999999999172,0.0,-1.1852665639644377,1,0.0,0.0,0.0
661.927,3.3179999999999836,0.0,-1.1852665639644377,0,0.0,0.0,0.0
662.31,3.700999999999908,1.2938995149446264,-1.5,0,0.0,0.0,0.0
662.41,3.800999999999931,1.0632950779617945,0.5176047994737281,0,0.0,0.0,0.0
662.514,3.9049999999999727,0.9289694683178285,0.6219212887211034,0,0.0,0.0,0.0
662.626,4.016999999999939,2.392348743671314,0.7422711542412879,0,0.0,0.0,0.0
662.723,4.113999999999919,3.383439478844068,0.550351298172718,0,0.0,0.0,0.0
662.816,4.206999999999994,0.0,0.550351298172718,1,0.0,0.0,0.0
663.209,4.599999999999909,1.792139206065636,-1.5,0,0.0,0.0,0.0
663.314,4.704999999999927,1.5723263187865573,-1.5,0,0.0,0.0,0.0
663.416,4.807000000000016,1.4505955863990845,-1.5,0,0.0,0.0,0.0
663.517,4.9080000000000155,1.7907722994020507,-1.479107887596708,0,0.0,0.0,0.0
663.628,5.0190000000000055,2.391423891041406,-1.5,0,0.0,0.0,0.0
663.728,5.1189999999999145,3.2499420554020944,-1.5,0,0.0,0.0,0.0
663.811,5.201999999999998,3.241700354508196,-1.5,0,0.0,0.0,0.0
663.932,5.322999999999979,2.5831044239049006,-1.5,0,0.0,0.0,0.0
664.026,5.416999999999916,2.202945050080494,-1.5,0,0.0,0.0,0.0
664.111,5.501999999999953,0.9390082658356178,1.5,0,0.0,0.0,0.0
664.211,5.601999999999975,0.4114213617442132,1.5,0,0.0,0.0,0.0
664.315,5.706000000000017,0.32632453759900737,1.5,0,0.0,0.0,0.0
664.405,5.795999999999935,0.31516906376698095,1.5,0,0.0,0.0,0.0
664.514,5.904999999999973,0.34167989289896616,1.5,0,0.0,0.0,0.0
664.607,5.997999999999934,0.3953877579190509,1.5,0,0.0,0.0,0.0
664.703,6.093999999999937,0.47566948242223844,1.5,0,0.0,0.0,0.0
664.804,6.194999999999936,0.5899591684877923,1.5,0,0.0,0.0,0.0
664.909,6.2999999999999545,0.8822959646801827,1.5,0,0.0,0.0,0.0
665.004,6.394999999999982,1.1851990526775578,1.5,0,0.0,0.0,0.0
665.106,6.496999999999957,1.5662060969648743,1.5,0,0.0,0.0,0.0
665.214,6.605000000000018,2.0728601944943703,1.3206631020414124,0,0.0,0.0,0.0
665.313,6.703999999999951,1.7431720956765786,0.8126447502307709,0,0.0,0.0,0.0
665.401,6.791999999999916,1.6529123626111881,0.4323189634785655,0,0.0,0.0,0.0
665.516,6.906999999999925,1.5251619158651595,0.12373752967316855,0,0.0,0.0,0.0
665.605,6.995999999999981,1.5255212904574535,-0.025059150057484526,0,0.0,0.0,0.0
665.707,7.097999999999956,1.623425250979149,-0.18093623377088697,0,0.0,0.0,0.0
665.808,7.198999999999955,2.0173591590513635,-0.520230634237949,0,0.0,0.0,0.0
665.912,7.302999999999997,2.441782737983438,-0.4394632258382853,0,0.0,0.0,0.0
666.009,7.399999999999977,2.971618954893789,-0.2967486678501019,0,0.0,0.0,0.0
666.108,7.49899999999991,3.9785095141022895,0.38680943306834514,0,0.0,0.0,0.0
