t,joy_throttle,joy_steering,U_1
-0.741928815841675,0,0,0
-0.708734035491943,0,0,0
-0.708684921264648,0,0,0
-0.605237007141113,0,0,0
-0.547780990600586,0,0,0
-0.443931102752686,0,0,0
-0.377766609191895,0,0,0
-0.35271143913269,0,0,0
-0.285418033599854,0,0,0
-0.245970487594605,0,0,0
-0.183047533035278,0,0,0
-0.0923953056335449,0,0,0
0.000030517578125,0,0,0
0.00330305099487305,0,0,0
0.076176643371582,0,0,0
0.104177236557007,0,0,0
0.163942337036133,0,0,0
0.198586225509644,0,0,0
0.258774757385254,0,0,0
0.295482635498047,0,0,0
0.354068279266357,0,0,0
0.398298740386963,0,0,0
0.449549198150635,0,0,0
0.515965223312378,0,0,0
0.550378084182739,0,0,0
0.61918830871582,0,0,0
0.655678987503052,0,0,0
0.754178524017334,0,0,0
0.802922487258911,0,0,0
0.878923416137695,0,0,0
0.96862006187439,0,0,0
0.968649387359619,0,0,0
1.00527715682983,0,0,0
1.05636954307556,0,0,0
1.16023778915405,0,0,0
1.20468425750732,0,0,0
1.31300806999207,0,0,0
1.35929870605469,0,0,0
1.42095589637756,0,0,0
1.46437311172485,0,0,0
1.51245999336243,0,0,0
1.55595684051514,0,0,0
1.62375950813293,0,0,0
1.67636704444885,0,0,0
1.71647810935974,0,0,0
1.75752425193787,0,0,0
1.80843162536621,0,0,0
1.91829442977905,0,0,0
2.03965663909912,0,0,0
2.13995003700256,0,0,0
2.22736144065857,0,0,0
2.2631630897522,0,0,0
2.36110424995422,0,0,0
2.41543912887573,0,0,0
2.46393275260925,0,0,0
2.51564407348633,0,0,0
2.58269906044006,0,0,0
2.61476683616638,0,0,0
2.66275358200073,0,0,0
2.77648782730103,0,0,0
2.82013463973999,0,0,0
2.87960314750671,0,0,0
2.87960743904114,0,0,0
2.93494820594788,0,0,0
3.02731800079346,0,0,0
3.06907105445862,0,0,0
3.09363794326782,0.0258170515298843,0,0.00516341030597687
3.096843957901,0.124889768660069,0,0.0249779537320137
3.09686827659607,0.207450360059738,0,0.0414900720119476
3.121178150177,0.290010958909988,0,0.0580021917819977
3.12121772766113,0.356059432029724,0,0.0712118864059448
3.12122392654419,0.471644282341003,0,0.0943288564682007
3.12128853797913,0.554204881191254,0,0.110840976238251
3.14306020736694,0.851423025131226,0,0.170284605026245
3.14311099052429,0.975263953208923,0,0.195052790641785
3.1635160446167,1,0,0.2
3.26230955123901,1,0,0.2
3.29348015785217,1,0,0.2
3.37390422821045,1,0,0.2
3.40204811096191,1,0,0.2
3.47458434104919,1,0,0.2
3.50684237480164,1,0,0.2
3.56431937217712,1,0,0.2
3.6021454334259,1,0,0.2
3.66134762763977,1,0,0.2
3.75582790374756,1,0,0.2
3.85646748542786,1,0,0.2
3.95135116577148,1,0,0.2
4.01920938491821,1,0,0.2
4.05048751831055,1,0,0.2
4.10802292823792,1,0,0.2
4.16677522659302,1,0,0.2
4.27352643013001,1,0,0.2
4.31537246704102,1,0,0.2
4.35912442207336,1,0,0.2
4.41299200057983,1,0,0.2
4.48655557632446,1,0,0.2
4.51660752296448,1,0,0.2
4.56279492378235,1,0,0.2
4.6002950668335,1,0,0.2
4.66847276687622,1,0,0.2
4.7800452709198,1,0,0.2
4.8163423538208,1,0,0.2
4.90615892410278,1,0,0.2
