t,joy_throttle,joy_steering,joy
1.38299918174744,0,0,0
1.42373251914978,0,0,0
1.47213387489319,0,0,0
1.52194380760193,0,0,0
1.57514309883118,0,0,0
1.618980884552,0,0,0
1.67855525016785,0,0,0
1.77420401573181,0,0,0
1.81936383247375,0,0,0
1.87528038024902,0,0,0
1.96863412857056,0,0,0
2.01898884773254,0,0,0
2.07886290550232,0,0,0
2.12383246421814,0,0,0
2.19040727615356,0,0,0
2.27105498313904,0,0,0
2.37483215332031,0,0,0
2.42044258117676,0,0,0
2.46959185600281,0,0,0
2.51764702796936,0,0,0
2.57883763313293,0,0,0
2.61863350868225,0,0,0
2.66163039207459,0.0175609923899174,0,0.491707786917686
2.6617488861084,0.0423291735351086,0,1.18521685898304
2.66179513931274,0.0670973509550095,0,1.87872582674027
2.67030835151672,0.133145824074745,0,3.72808307409287
2.67041420936584,0.17442612349987,0,4.88393145799637
2.68532538414001,0.256986737251282,0,7.19562864303589
2.70744752883911,0.587229132652283,0,16.4424157142639
2.71594905853272,0.653277575969696,0,18.2917721271515
2.72257018089294,0.826654851436615,0,23.1463358402252
2.72263026237488,0.909215450286865,0,25.4580326080322
2.73226499557495,1,0,28
2.77825689315796,1,0,28
2.82952833175659,1,0,28
2.87992596626282,1,0,28
2.93058919906616,1,0,28
2.98893117904663,1,0,28
3.07732844352722,1,0,28
3.12917423248291,1,0,28
3.17744112014771,1,0,28
3.23137998580933,1,0,28
3.28696322441101,1,0,28
3.38065457344055,1,0,28
3.43427324295044,1,0,28
3.50506091117859,1,0,28
3.53624200820923,1,0,28
3.59441614151001,1,0,28
3.64021348953247,1,0,28
3.68562650680542,1,0,28
3.73760175704956,1,0,28
3.79082918167114,1,0,28
3.85818099975586,1,0,28
3.93790912628174,1,0,28
4.00342345237732,1,0,28
4.04303193092346,1,0,28
4.09607577323914,1,0,28
4.14115571975708,1,0,28
4.19879937171936,1,0,28
4.24011516571045,1,0,28
4.33950471878052,1,0,28
4.75081944465637,1,0,28
4.75090575218201,1,0,28
4.75095939636231,1,0,28
4.75318360328674,1,0,28
4.75324487686157,1,0,28
4.75335288047791,1,0,28
4.75344824790955,1,0,28
4.8278796672821,1,0,28
4.84657883644104,1,0,28
4.94453740119934,1,0,28
4.99125814437866,1,0,28
5.04072737693787,1,0,28
5.09569525718689,1,0,28
5.1930947303772,1,0,28
5.29863715171814,1,0,28
5.39397478103638,1,0,28
5.49292421340942,1,0,28
5.54810976982117,1,0,28
5.60276556015015,1,0,28
5.631432056427,-0.133113712072372,0,-3.72718393802643
5.63867115974426,-0.0257849283516407,0,-0.72197799384594
5.6454222202301,0,0,0
5.74177289009094,0,0,0
5.79436802864075,0,0,0
5.84699845314026,0,0,0
5.94084715843201,0,0,0
6.04608249664307,0,0,0
6.09441447257996,0,0,0
6.14693713188171,0,0,0
6.19821357727051,0,0,0
6.29957437515259,0,0,0
6.39881730079651,0,0,0
6.44636678695679,0,0,0
6.50176572799683,0,0,0
6.55338525772095,0,0,0
6.5790753364563,0,0,0
6.6339156627655,0,0,0
6.67866826057434,0,0,0
6.73073649406433,0,0,0
6.77999615669251,0,0,0
6.90723752975464,0,0,0
6.93103623390198,0,0,0
6.97668313980103,0,0,0
7.08061218261719,0,0,0
7.27453064918518,0,0,0
7.27459168434143,0,0,0
7.33038210868835,0,0,0
7.38052296638489,0,0,0
7.48415207862854,0,0,0
7.58436465263367,0,0,0
7.63278126716614,0,0,0
7.68451929092407,0,0,0
7.79693078994751,0,0,0
7.83371019363403,0,0,0
7.93317818641663,0,0,0
8.03147578239441,0,0,0
8.08990049362183,0,0,0
8.18713712692261,0,0,0
8.23413848876953,0,0,0
8.30006551742554,0,0,0
8.40233993530273,0,0,0
8.43745803833008,0,0,0
8.48451232910156,0,0,0
8.58655762672424,0,0,0
8.68612003326416,0,0,0
8.73554563522339,0,0,0
8.78263545036316,0,0,0
8.84516644477844,0,0,0
8.88723158836365,0,0,0
8.99162864685059,0,0,0
9.08524584770203,0,0,0
9.1877281665802,0,0,0
9.23532962799072,0,0,0
9.33746480941773,0,0,0
