t,x,y,z,yaw
0.0,110.96097883011102,4038.7212937471545,140.22352798018807,-1.5608706429275654
0.0030450820922851562,110.8506351533172,4038.362797645384,140.0182094603041,-1.5621034038429824
0.0030875205993652344,110.80536440239872,4038.27748718441,140.10884020886252,-1.5626950689049752
0.024728059768676758,110.75655110828343,4038.276002785369,140.10732173691608,-1.562342259521742
0.03787732124328613,110.78135437095546,4038.307590277295,140.0371115336852,-1.5623871476218385
0.041033029556274414,110.7572367694737,4038.41935681468,140.09643645493358,-1.561787922721704
0.06682300567626953,110.73443800520026,4038.4408309232895,140.0885416859852,-1.5632442683767471
0.06687712669372559,110.69927509676057,4038.4640546085325,140.11007281893964,-1.5627686228965916
0.07402348518371582,110.80043783231325,4038.4643377430716,140.0524605999059,-1.5632400228585386
0.0973355770111084,110.8106201167351,4038.4306912662414,140.02835829324079,-1.5633336722816402
0.09736394882202148,110.82886613815661,4038.3639479754406,140.05831959200074,-1.5626978175837172
0.09738683700561523,110.79892067021825,4038.407208733611,140.02694665001735,-1.5626078478822378
0.10547423362731934,110.7885777563422,4038.4014686528376,140.02633941443042,-1.5625065070795572
0.10872721672058105,110.8089796623255,4038.4053909854915,139.95213410513395,-1.562981598626749
0.12543010711669922,110.85516593833799,4038.399354802699,139.97086535339315,-1.563183251563022
0.15920066833496094,110.80710365584288,4038.298756059359,140.03903455886058,-1.56248628316192
0.15929436683654785,110.809648498536,4038.328058548876,140.02991055232673,-1.5621201536545883
0.15931487083435059,110.77240446283044,4038.347320929136,140.07001096563212,-1.5626129060899294
0.15932059288024902,110.75693876302796,4038.436402553254,140.05764590617437,-1.5628360201292295
0.16768646240234375,110.7712379168858,4038.443793640212,140.0599130720217,-1.563252510680203
0.19219303131103516,110.74996743993096,4038.4736939385357,140.08613132836058,-1.5634492506410265
0.19222712516784668,110.78661918453766,4038.4675597123314,140.05163609289136,-1.563293991351056
0.19961237907409668,110.78359059105424,4038.4315021542784,140.0918607967949,-1.5638244483756514
0.22182679176330566,110.79358078203904,4038.4472653980247,140.03319603608853,-1.5626526539239052
0.221848726272583,110.84013463853391,4038.4034547720717,140.00333226418422,-1.5627780946533967
0.22835850715637207,110.8437477796176,4038.402699673575,140.02154934936343,-1.562803641066724
0.2509322166442871,110.82884742758539,4038.4275655758224,139.95171308913913,-1.5627335260143569
0.25093936920166016,110.86977699732898,4038.3401280446883,139.9596904660473,-1.562877527237081
0.26607751846313477,110.82543563882405,4038.3146234168576,140.05400192377502,-1.5626577860091126
0.28412532806396484,110.8011611627832,4038.2590175721107,140.07477095696808,-1.5622430514270413
0.28418922424316406,110.75291957347736,4038.3065879660053,140.04626201009955,-1.5623101185922372
0.2913229465484619,110.76236249448993,4038.3893041694464,140.0109425986301,-1.5623724449881977
0.3010716438293457,110.78078009269083,4038.4623243919623,139.99977939393932,-1.5631757158509416
0.32462501525878906,110.76092038784675,4038.4666576393033,140.05197721435982,-1.5633511932075963
0.3246426582336426,110.78910421561434,4038.4777803027528,140.01437829451015,-1.5633037969171644
0.3537018299102783,110.798417539254,4038.555504560144,140.1450285940308,-1.5622324887425534
0.3537623882293701,110.79321380177818,4038.5283272622733,140.11639357180718,-1.5611272813098165
0.35377049446105957,111.0608261962204,4038.587377063506,139.65676794292477,-1.5626607219975157
0.356870174407959,110.81380138299996,4038.375583262589,140.05015324868273,-1.563144595442219
0.3787820339202881,110.87657890482963,4038.3830828792293,140.0249341545617,-1.563234572834177
0.38492679595947266,110.85445857511472,4038.390667171834,139.97323713447122,-1.5625468137905152
0.41363072395324707,110.82460937287465,4038.3165631553316,140.0735437395307,-1.5623375522873062
0.41366100311279297,110.76618085946188,4038.2993020834333,140.10672806370084,-1.562241246334175
0.41367149353027344,110.8123136381093,4038.296791082107,140.07224528211947,-1.562270672453544
0.4201812744140625,110.74874545142994,4038.483920796682,140.08535784159673,-1.5616944762354374
0.46225666999816895,110.7403015235344,4038.462645459677,140.0398043408382,-1.5632195696594682
0.46236610412597656,111.04883048293878,4038.6040179036117,139.66545922465227,-1.5641521014271234
0.4623703956604004,110.82251552196051,4038.447655560105,140.0151343436766,-1.5633028508900686
0.4623751640319824,110.79819738214749,4038.4483940373007,140.11996696942413,-1.5631444314451148
0.47081494331359863,110.82774272455464,4038.392910046717,140.07763051075398,-1.5628133698534064
0.49474143981933594,110.83408802881242,4038.3941812644307,140.01852485657594,-1.5627544027895688
0.4948110580444336,110.82633358197357,4038.3744941470463,139.9721947722454,-1.5631469862828506
0.5012469291687012,110.83475482312323,4038.409993344608,139.97288669071497,-1.5632845244044937
0.5212833881378174,110.84665417197262,4038.3551098256808,140.05935836392717,-1.5623856704442576
0.521315336227417,110.81521647730482,4038.3221899266537,140.0233563208324,-1.562407620828289
0.5348312854766846,110.78938350761722,4038.287878839404,140.08615045538198,-1.5622849083836947
0.55120849609375,110.77656511988701,4038.295253582575,140.0520970413674,-1.5620207839730575
0.5512268543243408,110.77857832662134,4038.357101228741,140.01658107326043,-1.5626290442618707
0.5598163604736328,110.78069383035033,4038.4248286091506,140.03285288233357,-1.5634817413239712
0.5828886032104492,110.78056770556425,4038.436803517489,140.0835622249785,-1.5634053310177345
0.5830073356628418,110.76458087936146,4038.4725547687435,140.09730408957222,-1.5634482392116487
0.5964162349700928,110.80656406921135,4038.4081713046803,140.02404347791654,-1.5631673137232818
0.6191396713256836,110.82841262337006,4038.373812621939,140.0817589986952,-1.5629780743547586
0.6192965507507324,110.81809370894386,4038.420297646903,140.0325954374049,-1.5626778544641289
0.6223597526550293,110.81063489287303,4038.4055940722465,140.01354251717987,-1.5623920879286284
0.6311535835266113,110.89426853563975,4038.3738531774693,139.9802447535046,-1.5630913937562974
0.6636888980865479,110.87791096744874,4038.3783447944656,139.96307301610497,-1.562450430410812
0.6636929512023926,110.87707289385027,4038.3465687313355,140.05212577094687,-1.5624506145143455
0.6636960506439209,110.79045807839569,4038.3223623985727,140.06607431721932,-1.562005308085954
0.6896374225616455,110.79714146140692,4038.2899839155557,140.0507741361446,-1.5628464059037337
0.7117972373962402,110.99662735316633,4038.4694649184767,139.69042991811543,-1.5640354264137777
0.7118134498596191,110.75141945758872,4038.4723921099094,140.06628843360875,-1.5633309891811038
0.7118184566497803,110.78342787525683,4038.4937041258386,140.0647312339845,-1.5634813557655929
0.7118217945098877,110.79735005498722,4038.6215297397357,140.02600233846363,-1.5623987893118971
0.7234995365142822,110.79466339564614,4038.469854144318,140.01011146990746,-1.5630329694544252
0.7563388347625732,110.83295751730846,4038.431369223889,140.03202192305804,-1.562658875792784
0.7563581466674805,110.8551488039015,4038.383328427685,140.0306889142445,-1.563309748045545
0.7563791275024414,110.85164417745686,4038.3876137448515,140.0227838439509,-1.5636483094719218
0.7744030952453613,110.80732024860865,4038.391091229662,140.00348360716475,-1.5629668032796669
0.7744395732879639,110.87658563476005,4038.521125424511,139.99948386839412,-1.5619131906243913
0.7809398174285889,110.85112959337512,4038.295974811187,140.0502748206439,-1.5625083040245318
0.7901136875152588,110.78015108678494,4038.41372262797,140.08468533752603,-1.5613143838719201
0.810945987701416,110.81555325313572,4038.3166328026177,140.04171006690328,-1.5622707332060957
0.810981035232544,110.76463596664217,4038.361285268784,140.05373244601856,-1.562285752397715
0.8227348327636719,110.77209581430382,4038.4492200021036,140.01309366955124,-1.562649222913739
0.842120885848999,110.78872532004817,4038.4558584913602,140.0689868765802,-1.5633853015462538
0.842144250869751,110.78553008061505,4038.4222977438885,140.05582709583445,-1.5638272531173358
0.8738410472869873,110.7893278029413,4038.5058677199527,140.0546625565133,-1.5629825128823769
0.8738584518432617,110.79562352918742,4038.401651186779,140.05059784369328,-1.562748867098222
0.8738629817962646,110.84559795650566,4038.44581516509,140.02947008745167,-1.562483108011833
0.9054200649261475,111.10195944726772,4038.502906278158,139.5772007494674,-1.5642076475641078
