t,joy_throttle,joy_steering
1.4987549781799316,-0.0,-0.0
1.5509369373321533,-0.0,-0.0
1.5987460613250732,-0.0,-0.0
1.6978859901428223,-0.0,-0.0
1.7505841255187988,-0.0,-0.0
1.798346757888794,-0.0,-0.0
1.851513385772705,-0.0,-0.0
1.949669599533081,-0.0,-0.0
2.0000858306884766,-0.0,-0.0
2.052183151245117,-0.0,-0.0
2.1541500091552734,-0.0,-0.0
2.201335906982422,-0.0,-0.0
2.308990240097046,-0.0,-0.0
2.3622848987579346,-0.0,-0.0
2.4117496013641357,-0.0,-0.0
2.465534210205078,-0.0,-0.0
2.5572702884674072,-0.0,-0.0
2.673914670944214,-0.0,-0.0
3.0416297912597656,-0.0,-0.0
3.0417094230651855,-0.0,-0.0
3.043337821960449,-0.0,-0.0
3.0459609031677246,-0.0,-0.0
3.073951482772827,-0.0,-0.0
3.127175807952881,-0.0,-0.0
3.1559696197509766,-0.0,-0.0
3.215057611465454,-0.0,-0.0
3.258875608444214,-0.0,-0.0
3.315584897994995,-0.0,-0.0
3.3616371154785156,-0.0,-0.0
3.4156343936920166,-0.0,-0.0
3.4592137336730957,-0.0,-0.0
3.559492349624634,-0.0,-0.0
3.609495162963867,-0.0,-0.0
3.7090773582458496,-0.0,-0.0
3.7583882808685303,-0.0,-0.0
3.8108103275299072,-0.0,-0.0
3.8575279712677,-0.0,-0.0
3.907989978790283,-0.0,-0.0
4.019228219985962,-0.0,-0.0
4.067245244979858,-0.0,-0.0
4.112316131591797,-0.0,-0.0
4.171019792556763,-0.0,-0.0
4.211838960647583,-0.0,-0.0
4.221702575683594,0.001048872945830226,-0.0
4.2249791622161865,0.017560992389917374,-0.0
4.234763860702515,0.02581705152988434,-0.0
4.234872341156006,0.06709735095500946,-0.0
4.245717525482178,0.12488976866006851,-0.0
4.254338502883911,0.16617007553577423,-0.0
4.2543840408325195,0.1744261234998703,-0.0
4.257501602172852,0.19093824923038483,-0.0
4.2673609256744385,0.20745036005973816,-0.0
4.302594900131226,0.24873065948486328,-0.0
4.302601099014282,0.25698673725128174,-0.0
4.302680253982544,0.32303521037101746,-0.0
4.312376499176025,0.3560594320297241,-0.0
4.320949077606201,0.3808276355266571,-0.0
4.332351922988892,0.43862003087997437,-0.0
4.332381248474121,0.4716442823410034,-0.0
4.338855743408203,0.48815640807151794,-0.0
4.348674774169922,0.5046685338020325,-0.0
4.357255935668945,0.5459488034248352,-0.0
4.357293128967285,0.5707169771194458,-0.0
4.366020679473877,0.5954851508140564,-0.0
4.380957365036011,0.653277575969696,-0.0
4.380981683731079,0.6780457496643066,-0.0
4.408876895904541,0.702813982963562,-0.0
4.408971786499023,0.7440942525863647,-0.0
4.418710231781006,0.8927033543586731,-0.0
4.425168514251709,0.9257275462150574,-0.0
4.439785480499268,0.9339836239814758,-0.0
4.4398581981658936,1.0,-0.0
4.485808610916138,1.0,-0.0
4.536142826080322,1.0,-0.0
4.654755353927612,1.0,-0.0
4.757193326950073,1.0,-0.0
4.7974958419799805,1.0,-0.0
4.845907926559448,1.0,-0.0
4.935959100723267,1.0,-0.0
4.99140477180481,1.0,-0.0
5.053203582763672,1.0,-0.0
5.136200428009033,1.0,-0.0
5.1901023387908936,1.0,-0.0
5.297526836395264,1.0,-0.0
5.343061923980713,1.0,-0.0
5.392271280288696,1.0,-0.0
5.491557598114014,1.0,-0.0
5.543136835098267,1.0,-0.0
5.593649387359619,1.0,-0.0
5.645622491836548,1.0,-0.0
5.703895092010498,1.0,-0.0
5.744478225708008,1.0,-0.0
5.792301893234253,1.0,-0.0
6.207993268966675,1.0,-0.0
6.211133003234863,1.0,-0.0
6.212636709213257,1.0,-0.0
6.212705612182617,1.0,-0.0
6.2128005027771,1.0,-0.0
