t,joy_throttle,joy_steering
-0.7419288158416748,-0.0,-0.0
-0.7087340354919434,-0.0,-0.0
-0.7086849212646484,-0.0,-0.0
-0.6052370071411133,-0.0,-0.0
-0.5477809906005859,-0.0,-0.0
-0.44393110275268555,-0.0,-0.0
-0.37776660919189453,-0.0,-0.0
-0.35271143913269043,-0.0,-0.0
-0.2854180335998535,-0.0,-0.0
-0.2459704875946045,-0.0,-0.0
-0.18304753303527832,-0.0,-0.0
-0.09239530563354492,-0.0,-0.0
3.0517578125e-05,-0.0,-0.0
0.003303050994873047,-0.0,-0.0
0.07617664337158203,-0.0,-0.0
0.10417723655700684,-0.0,-0.0
0.1639423370361328,-0.0,-0.0
0.19858622550964355,-0.0,-0.0
0.2587747573852539,-0.0,-0.0
0.2954826354980469,-0.0,-0.0
0.3540682792663574,-0.0,-0.0
0.3982987403869629,-0.0,-0.0
0.44954919815063477,-0.0,-0.0
0.5159652233123779,-0.0,-0.0
0.5503780841827393,-0.0,-0.0
0.6191883087158203,-0.0,-0.0
0.6556789875030518,-0.0,-0.0
0.754178524017334,-0.0,-0.0
0.8029224872589111,-0.0,-0.0
0.8789234161376953,-0.0,-0.0
0.9686200618743896,-0.0,-0.0
0.9686493873596191,-0.0,-0.0
1.005277156829834,-0.0,-0.0
1.0563695430755615,-0.0,-0.0
1.1602377891540527,-0.0,-0.0
1.2046842575073242,-0.0,-0.0
1.3130080699920654,-0.0,-0.0
1.3592987060546875,-0.0,-0.0
1.4209558963775635,-0.0,-0.0
1.4643731117248535,-0.0,-0.0
1.5124599933624268,-0.0,-0.0
1.5559568405151367,-0.0,-0.0
1.6237595081329346,-0.0,-0.0
1.6763670444488525,-0.0,-0.0
1.7164781093597412,-0.0,-0.0
1.7575242519378662,-0.0,-0.0
1.808431625366211,-0.0,-0.0
1.9182944297790527,-0.0,-0.0
2.039656639099121,-0.0,-0.0
2.1399500370025635,-0.0,-0.0
2.2273614406585693,-0.0,-0.0
2.2631630897521973,-0.0,-0.0
2.3611042499542236,-0.0,-0.0
2.4154391288757324,-0.0,-0.0
2.463932752609253,-0.0,-0.0
2.515644073486328,-0.0,-0.0
2.5826990604400635,-0.0,-0.0
2.614766836166382,-0.0,-0.0
2.6627535820007324,-0.0,-0.0
2.7764878273010254,-0.0,-0.0
2.8201346397399902,-0.0,-0.0
2.879603147506714,-0.0,-0.0
2.8796074390411377,-0.0,-0.0
2.934948205947876,-0.0,-0.0
3.027318000793457,-0.0,-0.0
3.069071054458618,-0.0,-0.0
3.0936379432678223,0.02581705152988434,-0.0
3.096843957901001,0.12488976866006851,-0.0
3.0968682765960693,0.20745036005973816,-0.0
3.121178150177002,0.2900109589099884,-0.0
3.121217727661133,0.3560594320297241,-0.0
3.1212239265441895,0.4716442823410034,-0.0
3.121288537979126,0.5542048811912537,-0.0
3.1430602073669434,0.8514230251312256,-0.0
3.143110990524292,0.9752639532089233,-0.0
3.163516044616699,1.0,-0.0
3.2623095512390137,1.0,-0.0
3.293480157852173,1.0,-0.0
3.373904228210449,1.0,-0.0
3.402048110961914,1.0,-0.0
3.4745843410491943,1.0,-0.0
3.5068423748016357,1.0,-0.0
3.564319372177124,1.0,-0.0
3.6021454334259033,1.0,-0.0
3.6613476276397705,1.0,-0.0
3.7558279037475586,1.0,-0.0
3.8564674854278564,1.0,-0.0
3.9513511657714844,1.0,-0.0
4.019209384918213,1.0,-0.0
4.050487518310547,1.0,-0.0
4.108022928237915,1.0,-0.0
4.166775226593018,1.0,-0.0
4.273526430130005,1.0,-0.0
4.315372467041016,1.0,-0.0
4.359124422073364,1.0,-0.0
4.412992000579834,1.0,-0.0
4.486555576324463,1.0,-0.0
4.5166075229644775,1.0,-0.0
4.562794923782349,1.0,-0.0
4.600295066833496,1.0,-0.0
4.668472766876221,1.0,-0.0
4.7800452709198,1.0,-0.0
4.816342353820801,1.0,-0.0
4.906158924102783,1.0,-0.0
4.970751523971558,1.0,-0.0
5.010096549987793,1.0,-0.0
5.125809669494629,1.0,-0.0
5.160353660583496,1.0,-0.0
5.255465507507324,1.0,-0.0
5.303913831710815,1.0,-0.0
5.371690511703491,1.0,-0.0
5.469720363616943,1.0,-0.0
5.5018439292907715,1.0,-0.0
5.5660560131073,1.0,-0.0
5.6740686893463135,1.0,-0.0
5.772560358047485,1.0,-0.0
5.866151571273804,1.0,-0.0
5.963129043579102,1.0,-0.0
6.006331920623779,1.0,-0.0
6.063178539276123,1.0,-0.0
6.160634517669678,1.0,-0.0
6.222551345825195,1.0,-0.0
6.259022951126099,1.0,-0.0
6.330291748046875,1.0,-0.0
6.3547585010528564,1.0,-0.0
6.425483703613281,1.0,-0.0
6.4635748863220215,1.0,-0.0
6.585935354232788,1.0,-0.0
6.67671537399292,1.0,-0.0
6.775138854980469,1.0,-0.0
6.822850465774536,1.0,-0.0
6.93175482749939,1.0,-0.0
7.027628421783447,1.0,-0.0
7.066129922866821,1.0,-0.0
7.124901294708252,1.0,-0.0
7.160185813903809,1.0,-0.0
7.219312906265259,1.0,-0.0
7.259859323501587,1.0,-0.0
7.362313508987427,1.0,-0.0
7.429893970489502,1.0,-0.0
7.46172571182251,1.0,-0.0
7.582694053649902,1.0,-0.0
7.645319700241089,1.0,-0.0
7.690329551696777,1.0,-0.0
7.772685527801514,1.0,-0.0
7.84254002571106,1.0,-0.0
7.874664783477783,1.0,-0.0
7.911352872848511,1.0,-0.0
7.976389646530151,1.0,-0.0
8.044477224349976,1.0,-0.0
8.064892053604126,1.0,-0.0
8.119134664535522,1.0,-0.0
8.164393186569214,1.0,-0.0
8.218363761901855,1.0,-0.0
8.26668095588684,1.0,-0.0
8.328656911849976,1.0,-0.0
8.369365453720093,1.0,-0.0
8.42829704284668,1.0,-0.0
8.469872236251831,1.0,-0.0
8.529356718063354,1.0,-0.0
8.576064825057983,1.0,-0.0
8.62117624282837,1.0,-0.0
8.673246622085571,1.0,-0.0
8.771814584732056,1.0,-0.0
8.818725109100342,1.0,-0.0
8.880635023117065,1.0,-0.0
8.920007705688477,1.0,-0.0
8.97078537940979,1.0,-0.0
9.024004697799683,1.0,-0.0
9.129891157150269,1.0,-0.0
9.173656940460205,1.0,-0.0
9.224994421005249,1.0,-0.0
9.330618858337402,1.0,-0.0
9.375781536102295,1.0,-0.0
9.432376146316528,1.0,-0.0
9.476623773574829,1.0,-0.0
9.582968950271606,1.0,-0.0
9.680097103118896,1.0,-0.0
9.78458309173584,1.0,-0.0
9.829044342041016,1.0,-0.0
9.88145399093628,1.0,-0.0
9.99105191230774,1.0,-0.0
10.024514198303223,1.0,-0.0
10.37723994255066,1.0,-0.0
10.379258871078491,1.0,-0.0
10.379427194595337,1.0,-0.0
10.40578007698059,1.0,-0.0
10.405916690826416,1.0,-0.0
10.430945873260498,1.0,-0.0
10.47944712638855,1.0,-0.0
10.576563358306885,1.0,-0.0
10.626474380493164,1.0,-0.0
10.683537483215332,1.0,-0.0
10.779721736907959,1.0,-0.0
10.824680805206299,1.0,-0.0
10.887382745742798,1.0,-0.0
10.928521394729614,1.0,-0.0
10.985552310943604,1.0,-0.0
11.09378170967102,1.0,-0.0
11.130542755126953,1.0,-0.0
11.226155281066895,1.0,-0.0
11.241157054901123,1.0,-0.0
11.287675619125366,1.0,-0.0
11.332592487335205,1.0,-0.0
11.382665634155273,1.0,-0.0
11.438974857330322,1.0,-0.0
11.486724853515625,1.0,-0.0
11.546200275421143,1.0,-0.0
11.586877346038818,1.0,-0.0
11.635617733001709,1.0,-0.0
11.734668016433716,1.0,-0.0
11.79198169708252,1.0,-0.0
11.83412790298462,1.0,-0.0
11.889026403427124,1.0,-0.0
11.98973536491394,1.0,-0.0
12.055501937866211,1.0,-0.0
12.142759323120117,1.0,-0.0
12.198219060897827,1.0,-0.0
12.28804636001587,1.0,-0.0
12.386941909790039,1.0,-0.0
12.450141668319702,1.0,-0.0
12.54823899269104,1.0,-0.0
12.649755001068115,1.0,-0.0
12.740889310836792,1.0,-0.0
12.84096908569336,1.0,-0.0
12.905765056610107,1.0,-0.0
12.936534643173218,1.0,-0.0
12.988637208938599,1.0,-0.0
13.094895601272583,1.0,-0.0
13.139678716659546,1.0,-0.0
13.191681146621704,1.0,-0.0
13.291457176208496,1.0,-0.0
13.388274908065796,1.0,-0.0
13.44531774520874,1.0,-0.0
13.489238977432251,1.0,-0.0
13.547987222671509,1.0,-0.0
13.599628686904907,1.0,-0.0
14.067047119140625,1.0,-0.0
14.068405866622925,1.0,-0.0
14.08785605430603,1.0,-0.0
14.090239524841309,1.0,-0.0
14.090320587158203,1.0,-0.0
14.091106653213501,1.0,-0.0
14.111181020736694,1.0,-0.0
14.147457122802734,1.0,-0.0
14.19580626487732,1.0,-0.0
14.2477445602417,1.0,-0.0
14.30725646018982,1.0,-0.0
14.34906816482544,1.0,-0.0
14.402526140213013,1.0,-0.0
14.448106527328491,1.0,-0.0
14.506203413009644,1.0,-0.0
14.61046028137207,1.0,-0.0
14.711129903793335,1.0,-0.0
14.747589349746704,1.0,-0.0
14.802055358886719,1.0,-0.0
14.861047267913818,1.0,-0.0
14.915316343307495,1.0,-0.0
14.954269886016846,1.0,-0.0
15.0103018283844,1.0,-0.0
15.05473279953003,1.0,-0.0
15.152581453323364,1.0,-0.0
15.214869022369385,1.0,-0.0
15.25392460823059,1.0,-0.0
15.304615020751953,1.0,-0.0
15.350768327713013,1.0,-0.0
15.402493715286255,1.0,-0.0
15.454108715057373,1.0,-0.0
15.550922870635986,1.0,-0.0
15.653096914291382,1.0,-0.0
15.752984285354614,1.0,-0.0
15.804311990737915,1.0,-0.0
15.907771825790405,1.0,-0.0
15.957023620605469,1.0,-0.0
16.002994537353516,1.0,-0.0
16.058594226837158,1.0,-0.0
16.152968168258667,1.0,-0.0
16.254756450653076,1.0,-0.0
16.304268836975098,1.0,-0.0
