t,x,y,z,yaw
0.0,330.32631529075957,515.3552051982106,147.13394354519724,-3.0470389911121822
7.581710815429688e-05,330.2787832792358,515.4535455179255,147.13779345802226,-3.046396786564842
0.027060270309448242,330.26530869512635,515.454163351688,147.18995181059177,-3.045345526268757
0.027111530303955078,330.22741867264756,515.4069569511033,147.16773407971203,-3.045470741446773
0.02712726593017578,330.20343323774995,515.4995568205716,147.22146206868786,-3.0452740995888194
0.07932424545288086,330.19919168295235,515.447577439483,147.195765177975,-3.0457493820308685
0.07944345474243164,330.2211728319465,515.3261101679223,147.1608139528537,-3.0465614857042302
0.0794515609741211,330.26321499909153,515.4027722391354,147.07883448232457,-3.044053623509143
0.07945847511291504,330.23517950050797,515.3521188952288,147.13299870365006,-3.045453984517422
0.07947397232055664,330.219469270532,515.3454296892734,147.12428816379546,-3.0465360440750926
0.1157524585723877,330.22861978723427,515.4333317207444,147.21380689187083,-3.046991032215073
0.11578702926635742,330.2656187601282,515.4358855783985,147.1978417461338,-3.047161956569965
0.11583161354064941,330.26080498657115,515.4923748121299,147.19968274033243,-3.0473364445714877
0.16657352447509766,330.2527632171339,515.5957776739452,147.21827839137268,-3.04582443315943
0.17414259910583496,330.3229093238251,515.3854170821323,147.195987048023,-3.0467160926527823
0.17418932914733887,330.2720382046146,515.3723981915304,147.1942723018155,-3.046377755677102
0.1742081642150879,330.2714933894518,515.3883376865494,147.218972155118,-3.046180709563577
0.17449331283569336,330.2062357343356,515.4048216822632,147.2363653598914,-3.046269962417267
0.17456769943237305,330.1941156628551,515.4399353345341,147.17406114706029,-3.045791383776705
0.17468714714050293,330.136252423971,515.4848127319756,147.28487117043383,-3.046714846240734
0.18061542510986328,330.13027012377984,515.4490208014618,147.24968253695894,-3.046571295545635
0.21256613731384277,330.2245575449564,515.3295281117535,147.15115327357955,-3.046050993042255
0.2128450870513916,330.1915876876942,515.3639056889958,147.16570149103023,-3.0467413610844964
0.21288657188415527,330.23259754866643,515.3885927360539,147.14954158212436,-3.0468603744112435
0.22102928161621094,330.2778828444542,515.4103844070064,147.14144726080048,-3.047306114397565
0.24224472045898438,330.29460762282883,515.4186044457048,147.16401499559794,-3.047403057727805
0.24230647087097168,330.3418154251554,515.3854980463412,147.1762414980896,-3.0464900865262337
0.252061128616333,330.2546298781299,515.4633371503918,147.21876359574202,-3.0470583664431996
0.2724270820617676,330.2568670397093,515.4176414419516,147.23879288546703,-3.0467202756223717
0.2724874019622803,330.22550894707587,515.3914539158134,147.20449360810164,-3.0466894790374575
0.28308868408203125,330.1806590577442,515.4680181295167,147.20168750795636,-3.04580150659981
0.31280064582824707,330.210585478503,515.415730300987,147.25350797773672,-3.046209055781809
0.3130359649658203,330.1813148028601,515.4437988320326,147.1673620508754,-3.0456628250177697
0.31305885314941406,330.1703106203561,515.4608698045688,147.17249011899148,-3.045407353932169
0.3210475444793701,330.2361344286569,515.3182463639876,147.1157903985233,-3.0460195552913456
