t,x,y,yaw,vx,vy,v,omega
0.0,-94.1013003763063,1221.4692555758338,-3.0577442729584563,-3.3342436790576873,-4.218594139189691,5.377147703247676,0.014952927118857796
3.719329833984375e-05,-94.07947528825052,1221.48287358491,-3.05789845524023,-2.683648297742238,-3.3076672766732025,4.259416744009622,0.012481735328251914
4.673004150390625e-05,-94.04991262897764,1221.4709758525494,-3.058143820607966,-2.0916577042423596,-2.48707134825266,3.2497008851609284,0.01021062576125863
0.0359737873077392,-94.047443415509,1221.4364146216626,-3.058007296971632,-1.5582718985580515,-1.756806353928063,2.348314262409895,0.008139598417877945
0.036017894744873,-94.07164411144164,1221.4072188069672,-3.0579208373727305,-1.083490880689314,-1.1168722936994122,1.556070759628331,0.0062686532981098605
0.036027193069458,-94.1018178569812,1221.383722367109,-3.057678124030525,-0.6673146506361476,-0.5672691675667078,0.8758442506664466,0.004597790401954377
0.0360331535339355,-94.12008246031756,1221.4009162780028,-3.057657029713062,-0.3097432083985511,-0.10799697552994804,0.3280307940920249,0.0031270097294114913
0.0646300315856933,-94.14396356741396,1221.4169605424245,-3.057592627891032,-0.010776553976525388,0.2609442824108644,-0.26116671426223126,0.0018563112804812058
0.0914673805236816,-94.15738842565662,1221.428209315103,-3.0576352008157475,0.22958531262992915,0.5395546062557308,-0.5863689869929676,0.0007856950551635194
0.0916447639465332,-94.1499861120682,1221.406308163659,-3.057508312016596,0.4113423914208129,0.7278339960046512,-0.8360292391536864,-8.483894654156787e-05
0.0916581153869628,-94.1561554716506,1221.3748117697503,-3.0572499581003707,0.5344946823954082,0.8257824516468872,-0.9836672318202493,-0.0007552907246037854
0.0916790962219238,-94.16931766304168,1221.3902250905865,-3.0572586558880697,1.0318795906348512,0.817458043487818,-1.316439570368378,-0.00344506812662404
0.1042931079864502,-94.13458020682378,1221.4227625300025,-3.0574497147127766,1.2990414838372217,0.6696352434847768,-1.4614787497760366,-0.005486143504052965
0.126615285873413,-94.09576658072704,1221.4775918323323,-3.0576786032442365,1.2132510036637747,0.42929400077508717,-1.286962057324394,-0.005539506728195365
0.1395792961120605,-94.07817306497948,1221.4865683777784,-3.0579198510834207,0.9259154051198522,0.09500512828481078,-0.9307767250198478,-0.004272721190097251
0.1408355236053466,-94.04333759033553,1221.4740529842716,-3.057966516860367,0.36192413934635326,-0.2672974524474512,-0.44993000647489156,-0.00222162349893118
0.1561970710754394,-94.05394758833847,1221.4359682298332,-3.057910158630249,-0.2508740698803891,-0.5767014258312884,0.628905663429891,0.00047247159312679976
0.1563076972961425,-94.06850966674314,1221.4087402994005,-3.057757550231278,-0.8537550336796258,-0.7460812451119523,1.1338143065957051,0.0036341479631603057
0.1563141345977783,-94.10428416750084,1221.397236892013,-3.0576953997109872,-1.2275171761733326,-0.7324967828668036,1.4294579233789184,0.005169426489447515
0.1964905261993408,-94.12689264074224,1221.3996730108447,-3.0574259768991703,-1.290515984234851,-0.6377592443453182,1.4395028167091433,0.0068771165354792885
0.1967194080352783,-94.14398353898976,1221.4038515571417,-3.057566951851762,-1.1500825565953186,-0.34316780162561145,1.200189163031136,0.006917985872713972
0.1967370510101318,-94.1617500865247,1221.422680922124,-3.057486466335454,-0.7301858916459913,0.07951417810488692,0.7345025125066266,0.004314517998631251
0.2315461635589599,-94.16132264546384,1221.4079656062574,-3.057390622407353,-0.055834963355234635,0.4343001835386531,0.4378746310927229,0.00027556118101812466
0.234729528427124,-94.15149676853784,1221.3857816069874,-3.057312094913778,0.5810138087386854,0.6936571352609917,-0.9048410176619534,-0.0030445565251797646
0.234792947769165,-94.16855074930886,1221.3959834732932,-3.0573909645223365,1.0542760165283163,0.6271427707425232,-1.2267053329636355,-0.005863646740406292
0.2348003387451172,-94.12987054547898,1221.422599920038,-3.0573637185553717,1.3461798550961035,0.46851550207264836,-1.4253795908279843,-0.007188504916863625
0.2693459987640381,-94.10137933673644,1221.4726363990058,-3.057654249664333,1.2082176144154033,0.24785887789090566,-1.233379028171384,-0.007332694306917631
0.2694087028503418,-94.06545696664722,1221.4827037506138,-3.0579616334439064,0.8957029883725625,-0.036595351672588095,-0.8964502569264952,-0.005198768134075271
0.2694177627563476,-94.05202643905206,1221.460339699809,-3.0578460910352443,0.3023092655325925,-0.3505936308651485,-0.4629328094119745,-0.00247917522640817
0.2694222927093506,-94.06031119716252,1221.4333003480083,-3.058016436619349,-0.32459661057165334,-0.658467433807516,0.734126910676663,0.0010201389998905075
0.2808413505554199,-94.07244646466584,1221.388064980489,-3.057903156624437,-0.9319150252659014,-0.7857649536487656,1.2189717702633611,0.003752283918260879
0.2977926731109619,-94.10554341365356,1221.379340154725,-3.0576847334851505,-1.3655508331277275,-0.6522187731354734,1.5133137169424498,0.006393202391821395
0.2978410720825195,-94.13262343434144,1221.3950377403737,-3.057474180350653,-1.4736371773789685,-0.4136904953025464,1.5306032655319664,0.007057645027292336
0.3078348636627197,-94.14737175083216,1221.4034687572046,-3.0575645144742545,-1.2463599325093,-0.014785930241828282,1.2464476343183066,0.006549411988168163
