t,x,y,z,yaw,joy_throttle,joy_steering
0.0,110.96097883011102,4038.7212937471545,140.22352798018807,-1.5608706429275654,-0.0,-0.0
0.02,110.76721591521256,4038.276327099257,140.10765349510675,-1.5624193418826677,-0.0,-0.0
0.04,110.76513173082186,4038.3827697397446,140.07701628329698,-1.5619840805954044,-0.0,-0.0
0.06,110.74046965475766,4038.4351497251273,140.09063032899508,-1.562858977028483,-0.0,-0.0
0.08,110.8030482618775,4038.4557118047055,140.04628149792066,-1.563264031736371,-0.0,-0.0
0.1,110.79557871469669,4038.40535402469,140.02675044280272,-1.562575103100725,-0.0,-0.0
0.12,110.84015078706048,4038.401317164803,139.96477582744495,-1.5631176942242386,-0.0,-0.0
0.14,110.83443005825727,4038.3559527133707,140.000276117851,-1.5628825531268464,-0.0,-0.0
0.16,110.75810002270477,4038.4370027965506,140.0578300267388,-1.5628698440664657,-0.0,-0.0
0.18,110.76055038169149,4038.4588173038246,140.07308666177946,-1.5633513643758628,-0.0,-0.0
0.2,110.78376491063376,4038.4317772082813,140.0908371510573,-1.5638040016478125,-0.0,-0.0
0.22,110.79275924338933,4038.4459691151005,140.03802030505094,-1.5627490158886659,-0.0,-0.0
0.24,110.83606351568909,4038.415523273667,139.98553407575224,-1.5627674820171535,-0.0,-0.0
0.26,110.84323738065784,4038.324862769361,140.01613866745978,-1.562746005602342,-0.0,-0.0
0.28,110.8067097683738,4038.2717278320774,140.07002361768494,-1.5623378505327699,-0.0,-0.0
0.3,110.77875550367195,4038.454297507075,140.00100653014817,-1.563087414795062,-0.0,-0.0
0.32,110.76482010293485,4038.4658067490122,140.041727483588,-1.5633167359132538,-0.0,-0.0
0.34,110.79402616919604,4038.5188564214245,140.08342504243342,-1.5627376264165846,-0.0,-0.0
0.36,110.82276833965267,4038.376654485781,140.04655102742242,-1.5631574475483534,-0.0,-0.0
0.38,110.8721943882132,4038.38458617766,140.0146871805551,-1.5630982506819353,-0.0,-0.0
0.4,110.8387839567869,4038.3517531611383,140.02591082864305,-1.5624369249510373,-0.0,-0.0
0.42,110.75051560099396,4038.4787098948145,140.08499270311074,-1.561710521265783,-0.0,-0.0
0.44,110.74476811770542,4038.4738994989616,140.063900828098,-1.5624128392512613,-0.0,-0.0
0.46,110.74075440480821,4038.4637865402074,140.04224755538309,-1.5631377728628693,-0.0,-0.0
0.48,110.8301786005838,4038.393398049913,140.05494065375873,-1.5627907331993585,-0.0,-0.0
0.5,110.8331232349476,4038.40311549015,139.9727526337543,-1.5632578768392498,-0.0,-0.0
0.52,110.84589198723805,4038.3586252600826,140.05381962478026,-1.5624432444153857,-0.0,-0.0
0.54,110.78533797212428,4038.2902063384527,140.0754030589113,-1.562201549641529,-0.0,-0.0
0.56,110.78069282648191,4038.4249239213627,140.03325649457759,-1.5634811331493517,-0.0,-0.0
0.58,110.78058349616018,4038.435304280546,140.07721350666642,-1.5634148974503705,-0.0,-0.0
0.6,110.81000985457244,4038.4027525183774,140.03314592447492,-1.5631374683503996,-0.0,-0.0
0.62,110.8163808285235,4038.4169210433106,140.02822002799755,-1.562612229584952,-0.0,-0.0
0.64,110.88982088044826,4038.3750744570275,139.9755757240926,-1.5629171145530674,-0.0,-0.0
0.66,110.87976561071304,4038.3778355288396,139.96501997097826,-1.5625231037041454,-0.0,-0.0
0.68,110.79465853234578,4038.302012775237,140.05645827308055,-1.5625339314859839,-0.0,-0.0
0.7000000000000001,110.89042689797965,4038.3739144811025,139.88226664221187,-1.563402426664877,-0.0,-0.0
0.72,110.79546852239599,4038.515307647597,140.0148735784328,-1.5628429210217252,-0.0,-0.0
0.74,110.81390469463582,4038.4505169764075,140.0211206160053,-1.562845002015003,-0.0,-0.0
0.76,110.84273985088241,4038.388312344033,140.01890657910155,-1.5635114002705934,-0.0,-0.0
0.78,110.85481007534455,4038.328527507037,140.0429313699817,-1.5624222614185406,-0.0,-0.0
0.8,110.79695177014938,4038.367647046112,140.0642907123192,-1.5617682352602809,-0.0,-0.0
0.8200000000000001,110.7703600828738,4038.4287596539384,140.022549358835,-1.5625646518571745,-0.0,-0.0
0.84,110.7869060078213,4038.4551322229518,140.06287201084032,-1.5633047725830564,-0.0,-0.0
0.86,110.78766945067098,4038.4693751995337,140.05517107616302,-1.5633513857925405,-0.0,-0.0
0.88,110.89545348748322,4038.4569178769198,139.94151566058727,-1.5628184853526923,-0.0,-0.0
0.9,111.05792825722473,4038.4931006336296,139.6548799559356,-1.5639114504693836,-0.0,-0.0
0.92,110.83475182719124,4038.4923955312142,140.0499117790181,-1.5619049103299991,-0.0,-0.0
0.9400000000000001,110.8091005822912,4038.369567560701,140.03641951110245,-1.5624033588810773,-0.0,-0.0
0.96,110.79834061944955,4038.3593351941868,140.01205922922423,-1.5626115925792452,-0.0,-0.0
0.98,110.83052903776226,4038.4331082287836,140.04003895732973,-1.5630166040049995,-0.0,-0.0
1.0,110.81483673099116,4038.4102182556167,140.03569428446949,-1.5625436574692828,-0.0,-0.0
1.02,110.84248985903993,4038.455837622665,140.0221600138643,-1.562224307115397,-0.0,-0.0
1.04,110.88899638620343,4038.3664268674434,139.97906792219612,-1.562560199692514,-0.0,-0.0
1.06,110.82917436606299,4038.313057839267,140.05209141064435,-1.5625730005248162,-0.0,-0.0
1.08,110.77928129427148,4038.4715685156034,139.99965421404653,-1.5630486098900065,-0.0,-0.0
1.1,110.767580206159,4038.4339939719016,140.0281733626415,-1.5634988964141818,-0.0,-0.0
1.12,110.79685173170934,4038.4362169940823,140.02293883451762,-1.5626581362498198,-0.0,-0.0
1.1400000000000001,110.88482431442078,4038.502511963669,139.9980294046668,-1.5624040849910292,-0.0,-0.0
1.16,111.10361303855933,4038.4985996127984,139.65369325271732,-1.5637569804881877,-0.0,-0.0
1.18,110.82353383886765,4038.3233007378158,140.04808001320063,-1.5624133823236661,-0.0,-0.0
1.2,110.77621890675353,4038.3077730566674,140.05039074648352,-1.5620789146375758,-0.0,-0.0
1.22,110.78899837818891,4038.356104875362,140.01682787053582,-1.5622588276720346,-0.0,-0.0
1.24,110.79644616278539,4038.521110767617,140.03233393703593,-1.5629116316159004,-0.0,-0.0
1.26,110.84308554987157,4038.419804892138,140.01443634778073,-1.5628454506141944,-0.0,-0.0
1.28,110.83527703381415,4038.389196223282,140.0067163410685,-1.562611991881405,-0.0,-0.0
1.3,110.89789796830082,4038.3457490888204,139.97622016379916,-1.5623899350891346,-0.0,-0.0
1.32,110.83327201483314,4038.321558640494,140.0096095712877,-1.5620790603538224,-0.0,-0.0
1.34,110.79497362643657,4038.352413280357,140.0935295163364,-1.5621201094962571,-0.0,-0.0
1.36,110.81055034952867,4038.520746987308,140.04097909456036,-1.5632077333458778,-0.0,-0.0
1.3800000000000001,110.83300167032671,4038.38688232868,140.09082930904924,-1.5631245097628397,-0.0,-0.0
1.4000000000000001,110.8408391660838,4038.411512335372,140.0207779707446,-1.5629040967430148,-0.0,-0.0
1.42,110.86330887941556,4038.4024151272943,139.94322948363325,-1.56259547529967,-0.0,-0.0
1.44,110.85252364780916,4038.357405240624,140.0032643977644,-1.5624789757862705,-0.0,-0.0
1.46,110.79857718718863,4038.2833967232923,140.04521633374236,-1.5630385695911695,-0.0,-0.0
1.48,110.77147236420981,4038.512616437488,139.994946446422,-1.5630449282217802,-0.0,-0.0
1.5,110.80561435640881,4038.4713979006015,140.03800799908345,-1.5633743691575768,-0.0,-0.0
1.52,110.83781746807159,4038.4041282091157,140.04321910085613,-1.5630468087802878,-0.0,-0.0
1.54,110.90212059308314,4038.482291023751,140.0382088084056,-1.5621205480618903,-0.0,-0.0
1.56,110.87832002974862,4038.3828873508232,139.96639314323482,-1.562875828537551,-0.0,-0.0
1.58,110.85103460630508,4038.3596437361007,140.03586700013872,-1.562119858177689,-0.0,-0.0
1.6,110.83685825976987,4038.4046983587373,140.0699007923278,-1.5614224128943763,-0.0,-0.0
1.62,110.79250621075786,4038.487694072959,140.05538346302234,-1.5640130962050622,-0.0,-0.0
1.6400000000000001,110.81037780670863,4038.5326508516287,140.08314962981828,-1.5622057198251644,-0.0,-0.0
1.6600000000000001,110.8349679977757,4038.459125726141,139.99489052522893,-1.5625540310832884,-0.0,-0.0
1.68,110.85373838419264,4038.4146138072265,139.95308364006956,-1.562568385542881,-0.0,-0.0
1.7,110.86352460016391,4038.489820041554,139.99100386363637,-1.5618213133556202,-0.0,-0.0
1.72,110.78264718529202,4038.307343251885,140.0344829498561,-1.5624280948383558,-0.0,-0.0
1.74,110.78632347149302,4038.319898396632,140.02870859525856,-1.5629220711449805,-0.0,-0.0
1.76,110.80131331361368,4038.468422551299,140.026267360147,-1.5633627943975905,-0.0,-0.0
1.78,110.83647831764623,4038.429770944583,140.00523176962042,-1.5626295016196403,-0.0,-0.0
1.8,110.83294506037855,4038.390552096547,139.9712828745351,-1.5626119568761612,-0.0,-0.0
1.82,110.84822932642263,4038.422866723318,139.96888418198992,-1.562490088026555,-0.0,-0.0
1.84,110.86383545720112,4038.4434099240825,140.0281975544133,-1.5623914703120598,-0.0,-0.0
1.86,110.8794415879796,4038.463953124847,140.0875109268367,-1.5622928525975643,-0.0,-0.0
1.8800000000000001,110.75237594212726,4038.506918060012,139.98363735404493,-1.5630180521985435,-0.0,-0.0
1.9000000000000001,110.7641435156982,4038.4155575917766,140.01961921795757,-1.5627292927764713,-0.0,-0.0
1.92,111.04827168818319,4038.5089488299186,139.63457865731195,-1.5634574927332803,-0.0,-0.0
1.94,110.81407667833884,4038.3765337513214,139.94263021303664,-1.5628204086108777,-0.0,-0.0
1.96,110.8076451599782,4038.330256004338,139.96222159201932,-1.5620861728873356,-0.0,-0.0
1.98,110.78171220531787,4038.2836729303103,140.03480585278223,-1.5621345079877678,-0.0,-0.0
2.0,110.76507831524101,4038.434735275258,139.98404243581274,-1.5631447175072848,-0.0,-0.0
2.02,110.77335456282988,4038.438638280992,140.0076591925062,-1.563132949912485,-0.0,-0.0
2.04,111.0349914344402,4038.5510454394694,139.64906836749086,-1.5633976004160468,-0.0,-0.0
2.06,110.85557107493541,4038.4465936695333,139.92081848608012,-1.562554872236284,-0.0,-0.0
2.08,110.86838193516013,4038.4398970667694,139.94551264637366,-1.5629714448106347,-0.0,-0.0
2.1,110.78764414302223,4038.3369584304137,140.04250551446282,-1.562014326455616,-0.0,-0.0
2.12,110.78005340872441,4038.3243694581106,140.03428263348883,-1.5623997928705384,-0.0,-0.0
2.14,110.77958212267694,4038.4791007349577,140.0476641706424,-1.563484373661679,-0.0,-0.0
2.16,110.77998216002965,4038.5605400318027,140.01431469836578,-1.5628475932860522,-0.0,-0.0
2.18,110.82518944954778,4038.468559546095,139.979991810343,-1.5627349940831146,-0.0,-0.0
2.2,110.84377263741857,4038.451199903539,139.94383637899958,-1.5630663025147769,-0.0,-0.0
2.22,110.81618053909679,4038.5991733164183,139.95418797609926,-1.5613958844323033,-0.0,-0.0
2.24,110.80213808293519,4038.3428834029987,140.016431352027,-1.5623353900879555,-0.0,-0.0
2.2600000000000002,110.75248365064418,4038.449380236275,140.00898670691424,-1.5632419367265409,-0.0,-0.0
2.2800000000000002,110.77045442436366,4038.483945394156,140.01078028198435,-1.5629837226159706,-0.0,-0.0
2.3000000000000003,110.76059938692556,4038.398359696312,140.01624410045164,-1.562876322820753,-0.0,-0.0
2.32,110.83040283639757,4038.434987482371,139.9521582281051,-1.5623929722106467,-0.0,-0.0
2.34,110.84789262275139,4038.4610175815824,139.9030700890223,-1.5627002222740871,-0.0,-0.0
2.36,110.80202043073372,4038.3258535267105,140.03422593683032,-1.5623918935497982,-0.0,-0.0
2.38,110.74837451313078,4038.391107800389,140.0061784725298,-1.5623191545334827,-0.0,-0.0
2.4,110.76220638245704,4038.5060956871284,140.02956058297818,-1.5634011825255247,-0.0,-0.0
2.42,110.76961993015215,4038.5226307714534,140.01983228139696,-1.562921682719007,-0.0,-0.0
2.44,110.79380561446551,4038.4538035920827,139.9770017991203,-1.5629297130637374,-0.0,-0.0
2.46,110.78557352926273,4038.442037843694,139.97072235167957,-1.5629692564156108,-0.0,-0.0
2.48,110.78289999516991,4038.352152787293,140.0606337971677,-1.5620542823776384,-0.0,-0.0
2.5,110.76395561711132,4038.2911600424077,140.07180716343524,-1.5621045406202039,-0.0,-0.0
2.52,110.82329694928406,4038.6917813262917,140.13987262647925,-1.561636783314604,-0.0,-0.0
2.54,110.97963078609226,4038.63199124641,139.69049832632274,-1.5640636839106052,-0.0,-0.0
2.56,110.77250711975576,4038.491374586069,140.035740370645,-1.5628072050844102,-0.0,-0.0
2.58,110.80163966688572,4038.4818704564145,139.93334089327402,-1.562635430971859,-0.0,-0.0
2.6,110.84476563877334,4038.500534376358,139.91414332015975,-1.5628511914514114,-0.0,-0.0
2.62,110.74013324277095,4038.400324505178,139.9964621842124,-1.562169435851541,-0.0,-0.0
2.64,110.72027245996759,4038.536676210121,140.02896677569083,-1.5617781006938052,-0.0,-0.0
2.66,110.71613484865308,4038.556714350465,140.07270826408217,-1.5627535275405655,-0.0,-0.0
2.68,110.76990059269194,4038.487453973435,140.08672376560074,-1.563006490940231,-0.0,-0.0
2.7,110.76287036801162,4038.567680750419,140.0555060282499,-1.5616044005589582,-0.0,-0.0
2.72,110.82613702071946,4038.4150893832875,139.9909007039252,-1.5632236348798838,-0.0,-0.0
2.74,110.80545362615143,4038.3674934131072,140.03104998090546,-1.5627434418656376,-0.0,-0.0
2.7600000000000002,110.76330811505893,4038.3172010585467,140.08305049689713,-1.5624696704149987,-0.0,-0.0
2.7800000000000002,110.75703797628948,4038.321607679335,140.06189328692125,-1.5623706073623036,-0.0,-0.0
2.8000000000000003,110.74047177218263,4038.3699569263304,140.01711894692548,-1.5624909052437082,-0.0,-0.0
