t,x,y,z,yaw,joy_throttle,joy_steering
0.0,298.73088753017635,534.8519335804896,147.0668463456184,-3.104376094710549,-0.0,-0.0
0.02,298.70992611585865,535.2783911384463,147.55689083141004,-3.1001788447261402,-0.0,-0.0
0.04,298.61271468140325,534.9918034838253,147.2646878741006,-3.1023381043479814,-0.0,-0.0
0.06,298.6597476075453,534.8081308574285,147.13476684282534,-3.1040974116688083,-0.0,-0.0
0.08,298.6154752636003,534.7530388894654,147.03382793088244,-3.1044646768531012,-0.0,-0.0
0.1,298.5655406596456,534.6967825280867,146.92724668247163,-3.104818342516512,-0.0,-0.0
0.12,298.7538411862727,534.894821550325,147.11416652268682,-3.1047049847126647,-0.0,-0.0
0.14,298.7881509389592,534.905249968402,147.12409822060346,-3.1049106754879086,-0.0,-0.0
0.16,298.7849242938839,534.8966717778728,147.12733857682665,-3.1049285370578494,-0.0,-0.0
0.18,298.6758319196616,534.8192645196593,147.14705429367868,-3.1041580613930804,-0.0,-0.0
0.2,298.6738751374563,534.8190277501803,147.14082804436993,-3.1041375478331847,-0.0,-0.0
0.22,298.57433083747,534.9524832237391,147.20728211558696,-3.1023850048211514,-0.0,-0.0
0.24,298.7615329971837,534.8751329803266,147.08738635152702,-3.104433872947547,-0.0,-0.0
0.26,298.7825424024295,534.8136942490411,147.07059826044596,-3.1045926665396557,-0.0,-0.0
0.28,298.7678137172458,534.8174148781375,147.09465641992742,-3.1045806415734214,-0.0,-0.0
0.3,298.65027172886437,534.7381005622186,147.00391257408637,-3.1048010855656814,-0.0,-0.0
0.32,298.68179163093055,534.8287177333883,147.1439545072957,-3.1042237264279327,-0.0,-0.0
0.34,298.60868854924774,534.7269098196884,146.99623833634823,-3.1043477034443914,-0.0,-0.0
0.36,298.7456261657903,534.881278263449,147.1034213533816,-3.1045726601904695,-0.0,-0.0
0.38,298.77576882495873,534.8682571061989,147.12393935124493,-3.104710585845174,-0.0,-0.0
0.4,298.77807693881243,534.8304042215535,147.1060065503482,-3.1045894226744806,-0.0,-0.0
0.42,298.69176956995824,534.800477717573,147.11356769926493,-3.1042938161099682,-0.0,-0.0
0.44,298.5841891770994,534.727854737287,146.94241388549986,-3.1043905875522406,-0.0,-0.0
0.46,298.66313004393726,534.7562633469635,147.08416377097285,-3.103945090712718,-0.0,-0.0
0.48,298.65777605077005,534.7688595356399,147.05810437329683,-3.1039353436155412,-0.0,-0.0
0.5,298.7605849564019,534.8823474932378,147.1060775369698,-3.1045107897786237,-0.0,-0.0
0.52,298.78581644189217,534.8997458020891,147.16993497680556,-3.1042307570503684,-0.0,-0.0
0.54,298.77161775489316,534.8323601248926,147.1244910932251,-3.1047798239175735,-0.0,-0.0
0.56,298.68226922047444,534.8119279801522,147.12748997644968,-3.104116709075098,-0.0,-0.0
0.58,298.6300230644486,534.7842959916059,147.06561640819692,-3.1045696806287406,-0.0,-0.0
0.6,298.5837491045741,534.6916395332285,146.91987328989052,-3.1037941720071607,-0.0,-0.0
0.62,298.73667215999507,534.8881619896938,147.08759102040815,-3.1044395892566734,-0.0,-0.0
0.64,298.78234538519456,535.0284332805334,147.23840936153775,-3.1033491749875606,-0.0,-0.0
0.66,298.7345902586088,535.2062507443123,147.45971871071868,-3.1009601317392996,-0.0,-0.0
0.68,298.7118168630806,534.8168181869822,147.10887504874006,-3.1043400535935843,-0.0,-0.0
0.7000000000000001,298.70502746105785,534.8189999475652,147.1138685009678,-3.1042661739188446,-0.0,-0.0
0.72,298.6502304493885,534.8145019888104,147.10193162305606,-3.1039524746589757,-0.0,-0.0
0.74,298.65082360163177,534.7938640917121,147.0537789735731,-3.1039079339372915,-0.0,-0.0
0.76,298.70738123010796,534.843955038222,147.06071125711716,-3.1043604370451727,-0.0,-0.0
0.78,298.59179002104037,535.1615329853686,147.4207828247852,-3.101481999622036,-0.0,-0.0
0.8,298.59466950875594,535.1570299773673,147.43514850864284,-3.1013587210496616,-0.0,-0.0
0.8200000000000001,298.7053826190635,534.7948727188362,147.09336454606364,-3.1042093589726028,-0.0,-0.0
0.84,298.6748321468405,534.8572559015303,147.16151859151128,-3.103673961503442,-0.0,-0.0
0.86,298.67187007745093,534.7812694889572,147.091800413832,-3.104014961615222,-0.0,-0.0
0.88,298.7225269290284,534.891281008748,147.09050179004427,-3.1044549579127887,-0.0,-0.0
0.9,298.77338738519825,534.9255871445712,147.13163395350273,-3.104675613410035,-0.0,-0.0
0.92,298.6722377482187,535.1012407378787,147.36520245778343,-3.1019307565194953,-0.0,-0.0
0.9400000000000001,298.77118590615,534.8352540679527,147.12999262070758,-3.1043812499899404,-0.0,-0.0
0.96,298.65608409716765,534.7879671530156,147.07800107759724,-3.104558106530843,-0.0,-0.0
0.98,298.6756864319312,534.7795363186727,147.10692379127283,-3.103990634589376,-0.0,-0.0
1.0,298.66724656072734,534.7757734370617,147.04983031620083,-3.103960634033937,-0.0,-0.0
1.02,298.76742119573305,534.8968982476171,147.09872181686447,-3.104661854287937,-0.0,-0.0
1.04,298.7936891831465,534.9241056537361,147.13700693670523,-3.10478404298024,-0.0,-0.0
1.06,298.7846568065268,534.8255418110671,147.12730676423718,-3.1046320314192806,-0.0,-0.0
1.08,298.7008040479239,534.8114409709613,147.1384787559412,-3.1042414555370943,-0.0,-0.0
