t,x,y,z,yaw,joy_throttle,joy_steering
0.3848836421966553,395.0782405263387,260.56651432460546,151.19039452828144,-3.1372542251745346,-0.0,-0.0
0.4048836421966553,395.1103423975788,260.58428842051285,151.19459022453702,-3.1370394525812424,-0.0,-0.0
0.4248836421966553,395.005718745688,260.55171976223187,151.20372187938287,-3.136093966890028,-0.0,-0.0
0.4448836421966553,395.08160189120395,260.4917064955592,151.20172804004736,-3.136799544357474,-0.0,-0.0
0.46488364219665534,395.0577930478125,260.4922908061093,151.2162760788847,-3.1370726647511793,-0.0,-0.0
0.48488364219665536,395.05239916730045,260.5376910608301,151.2197037922752,-3.1373189142757743,-0.0,-0.0
0.5048836421966554,395.07338089744854,260.57225289406045,151.22200736510138,-3.1374860621245557,-0.0,-0.0
0.5248836421966554,395.0269257743148,260.6262864297603,151.20806213590268,-3.1366217441263404,-0.0,-0.0
0.5448836421966554,395.07326377882083,260.61788585999767,151.2238741211548,-3.13660353819022,-0.0,-0.0
0.5648836421966554,395.08972272412365,260.469933556666,151.21068440163822,-3.1370591948348037,-0.0,-0.0
0.5848836421966555,395.03939406704814,260.49814976642193,151.22761621554616,-3.1371561347037353,-0.0,-0.0
0.6048836421966555,394.9403385265393,260.57083601322995,151.24849311003027,-3.136325625238944,-0.0,-0.0
0.6248836421966555,394.8633512029569,260.6509733894294,151.22788534758638,-3.1356606249781382,-0.0,-0.0
0.6448836421966555,394.97755542906543,260.6832964376257,151.21755024393974,-3.1358612636496446,-0.0,-0.0
0.6648836421966555,394.9820765954481,260.67606948076093,151.22136129260699,-3.135831416003795,-0.0,-0.0
0.6848836421966555,394.9865977618308,260.66884252389616,151.22517234127423,-3.1358015683579454,-0.0,-0.0
0.7048836421966556,395.06559475483556,260.4887528164412,151.21145386118744,-3.1370682718967506,-0.0,-0.0
0.7248836421966556,395.0594202205286,260.49204284766904,151.22136841984712,-3.1370605717268885,-0.0,-0.0
0.7448836421966556,395.04756832163014,260.5470318321509,151.20759773528138,-3.137198614699824,-0.0,-0.0
0.7648836421966556,395.05950366945746,260.5610144352245,151.1976754592036,-3.137240928712236,-0.0,-0.0
0.7848836421966556,395.06858325490407,260.5651438265773,151.19695746660005,-3.1372582714309107,-0.0,-0.0
0.8048836421966556,395.0776628403506,260.5692732179302,151.19623947399649,-3.137275614149586,-0.0,-0.0
0.8248836421966557,395.0584397402456,260.4965873030221,151.20162270066095,-3.136826265125129,-0.0,-0.0
0.8448836421966557,395.0651201685384,260.4880126912884,151.22578208122613,-3.137042900511526,-0.0,-0.0
