t,x,y,z,yaw,joy_throttle,joy_steering
0.0,330.32631529075957,515.3552051982106,147.13394354519724,-3.0470389911121822,-0.0,-0.0
0.02,330.2688342142618,515.454001700335,147.17630498716758,-3.04562058027117,-0.0,-0.0
0.04,330.20238719241456,515.4867377502732,147.21512474335614,-3.045391312970523,-0.0,-0.0
0.06,330.20076198159336,515.4668211261451,147.20527862162734,-3.0455734240606263,-0.0,-0.0
0.08,330.2196019504082,515.3467042436005,147.12558615976116,-3.046542641273051,-0.0,-0.0
0.1,330.2246465471639,515.3951638352498,147.1749370215661,-3.046793472102553,-0.0,-0.0
0.12,330.2601443649624,515.5008692318534,147.2012103505184,-3.0472122346672816,-0.0,-0.0
0.14,330.25697468952484,515.5416256243152,147.20853985415664,-3.04661627311037,-0.0,-0.0
0.16,330.2538050140873,515.582382016777,147.21586935779487,-3.046020311553459,-0.0,-0.0
0.18,330.1308911570329,515.452736425608,147.25333553176353,-3.046586197799335,-0.0,-0.0
0.2,330.1874745317857,515.376524295666,147.18990459296026,-3.046255626749963,-0.0,-0.0
0.22,330.2721585433342,515.4076298244368,147.14247042586572,-3.0472497705036248,-0.0,-0.0
0.24,330.2928380411356,515.4177347163923,147.16162719412995,-3.047392800543008,-0.0,-0.0
0.26,330.2555019481801,515.4455244634943,147.22657123192556,-3.0469265749437375,-0.0,-0.0
0.28,330.1937260752705,515.44571114198,147.20250506537568,-3.0460602174144515,-0.0,-0.0
0.3,330.1976924384435,515.4382571869548,147.23118244144337,-3.0460334735438903,-0.0,-0.0
0.32,330.22750305661503,515.3369483505381,147.1232253433353,-3.0459392782938273,-0.0,-0.0
0.34,330.2021557205908,515.3749657570112,147.14950299935836,-3.0466570365387495,-0.0,-0.0
0.36,330.2296997560222,515.3827507560969,147.12765089410823,-3.0467001210856535,-0.0,-0.0
0.38,330.32831129477995,515.3925724210633,147.14988988562902,-3.04691873959292,-0.0,-0.0
0.4,330.2813994474165,515.4688819498049,147.17034717615732,-3.0462274859280107,-0.0,-0.0
0.42,330.1929531679652,515.4406699651397,147.1647833258359,-3.045606177136797,-0.0,-0.0
0.44,330.2168698188975,515.4460564705098,147.16319189592005,-3.0455446577289447,-0.0,-0.0
0.46,330.2095359021563,515.3636306790344,147.1612772054879,-3.045837650766511,-0.0,-0.0
0.48,330.3091505777072,515.4336027754332,147.13539129946025,-3.0457198588861925,-0.0,-0.0
0.5,330.32102836644236,515.4375811604998,147.1584963217466,-3.0470895999017187,-0.0,-0.0
0.52,330.3294439283113,515.396939733533,147.18020269173456,-3.0461945381452624,-0.0,-0.0
0.54,330.2363654792597,515.4045808256526,147.1679342881379,-3.045994619097848,-0.0,-0.0
0.56,330.23120345802226,515.4786608164065,147.16047374297247,-3.044775396560734,-0.0,-0.0
0.58,330.23383786242084,515.3075810242931,147.1284479146068,-3.046488775887514,-0.0,-0.0
0.6,330.2182689651597,515.3099328634199,147.10505775178868,-3.0462364704799034,-0.0,-0.0
0.62,330.21652021890293,515.5181304358637,147.22869525920743,-3.0468378887185597,-0.0,-0.0
0.64,330.2232161784431,515.5613601717747,147.2654680960305,-3.046925016643928,-0.0,-0.0
0.66,330.2945740167466,515.486728781112,147.19499404065067,-3.0461530359399065,-0.0,-0.0
0.68,330.24014068150245,515.4443169885456,147.18570200261934,-3.0452449439320737,-0.0,-0.0
0.7000000000000001,330.1643071253716,515.4638210737244,147.14888144933758,-3.045416209868045,-0.0,-0.0
0.72,330.1880285880979,515.366498450299,147.09812292227616,-3.045861977746033,-0.0,-0.0
0.74,330.20325582883095,515.2714390137362,146.9690292019181,-3.0490071601481046,-0.0,-0.0
0.76,330.26338079007706,515.3262518989366,147.04289120419347,-3.048613472598706,-0.0,-0.0
0.78,330.2824832637551,515.5011014804189,147.19421716509868,-3.0458147069450883,-0.0,-0.0
0.8,330.2179300619381,515.4079054701226,147.20496302317804,-3.046755347421176,-0.0,-0.0
0.8200000000000001,330.18693675042357,515.4401772496717,147.20211208371379,-3.0466660376415216,-0.0,-0.0
0.84,330.20581180740743,515.3534719893345,147.1557709680435,-3.0468434324368596,-0.0,-0.0
0.86,330.1508865742582,515.4050901365691,147.18657764181842,-3.04680443423086,-0.0,-0.0
0.88,330.2715621911523,515.495300792595,147.17147269657792,-3.0469366874657813,-0.0,-0.0
0.9,330.3244628880053,515.4484439925461,147.1899132727365,-3.0464879692289712,-0.0,-0.0
0.92,330.3169188210206,515.3570647304348,147.15949579543567,-3.046534846422214,-0.0,-0.0
0.9400000000000001,330.22922311397105,515.3690595868926,147.17271509378196,-3.046345216877109,-0.0,-0.0
0.96,330.23029979423313,515.4201544577769,147.16914032966235,-3.0456856072363703,-0.0,-0.0
0.98,330.2229181520267,515.343729668573,147.10095486329115,-3.0461621900129487,-0.0,-0.0
1.0,330.23946238864005,515.4195489788897,147.1154108496125,-3.047181087297329,-0.0,-0.0
1.02,330.2480769054579,515.4339133946672,147.13030006312567,-3.047082959787593,-0.0,-0.0
1.04,330.2566914222757,515.4482778104448,147.1451892766389,-3.0469848322778574,-0.0,-0.0
1.06,330.26530593909354,515.4626422262223,147.1600784901521,-3.046886704768122,-0.0,-0.0
1.08,330.27392045591137,515.4770066419998,147.17496770366532,-3.046788577258386,-0.0,-0.0
1.1,330.1995566968935,515.3635162765446,147.11280975119737,-3.046324184116293,-0.0,-0.0
1.12,330.17548660984306,515.3836706838111,147.13980925109578,-3.0463768768379684,-0.0,-0.0
1.1400000000000001,330.31313262910646,515.4038421087154,147.12094289240738,-3.046910200320601,-0.0,-0.0
1.16,330.30864005297167,515.4071719186489,147.117366624041,-3.047067525556274,-0.0,-0.0
1.18,330.2923996916899,515.3975945205563,147.17409748350008,-3.046591861351258,-0.0,-0.0
1.2,330.2446367157301,515.4375163708988,147.14463381979982,-3.045396509250366,-0.0,-0.0
1.22,330.2071621450299,515.4190412683511,147.17567592753892,-3.0460072511619307,-0.0,-0.0
1.24,330.16620137838163,515.3695269175673,147.11378191793762,-3.0467624236464457,-0.0,-0.0
1.26,330.2084102723062,515.3994951081573,147.13183869712472,-3.0463849405039944,-0.0,-0.0
1.28,330.2855449935915,515.4538905817014,147.13767161477543,-3.0471150142997434,-0.0,-0.0
1.3,330.28577170853305,515.4939357042432,147.20428874664165,-3.04711643337716,-0.0,-0.0
1.32,330.22980685454235,515.542154530227,147.21495960784353,-3.045736582914618,-0.0,-0.0
1.34,330.24390830351825,515.4208814018893,147.19444004166826,-3.045532500319795,-0.0,-0.0
1.36,330.21396778756343,515.4140221385949,147.13395561246455,-3.0457996909071454,-0.0,-0.0
1.3800000000000001,330.2483068350372,515.3346007893834,147.10589990992415,-3.0463905364981576,-0.0,-0.0
1.4000000000000001,330.2527571808297,515.5145996488166,147.18608707379542,-3.0468997765484684,-0.0,-0.0
1.42,330.24822138015526,515.5979836081484,147.181751336877,-3.046295072834578,-0.0,-0.0
1.44,330.2582416485779,515.4548592193366,147.14406500793368,-3.0454603496646553,-0.0,-0.0
1.46,330.24059765712104,515.5515575649353,147.18998593153276,-3.0440751117448817,-0.0,-0.0
1.48,330.22401399234946,515.3748413882882,147.1268400099215,-3.045820130721031,-0.0,-0.0
1.5,330.2430969908961,515.259479038648,147.06925783760582,-3.046079089256375,-0.0,-0.0
1.52,330.19485699596777,515.4917962815493,147.1955213178977,-3.0463293899560844,-0.0,-0.0
1.54,330.3436794200343,515.3776630544035,147.138805268346,-3.046912832893977,-0.0,-0.0
1.56,330.2786288407625,515.4973551820291,147.18698717686644,-3.046425956648343,-0.0,-0.0
1.58,330.30378326921823,515.4063601586223,147.18280298236957,-3.046776833924198,-0.0,-0.0
1.6,330.2085662886672,515.4462359761362,147.1667762700722,-3.0459185531881423,-0.0,-0.0
1.62,330.23489734972327,515.320382058791,147.11320876175603,-3.046201018137007,-0.0,-0.0
1.6400000000000001,330.20101917142176,515.3836317235732,147.11926983837006,-3.0462305649900103,-0.0,-0.0
1.6600000000000001,330.2711935755422,515.468173954938,147.15497447521184,-3.0471552318347306,-0.0,-0.0
1.68,330.2878849913583,515.425053036836,147.16164838710426,-3.047139296032496,-0.0,-0.0
1.7,330.2846029718628,515.3899153786089,147.16496819434641,-3.046794022779492,-0.0,-0.0
1.72,330.19127638816,515.4588442857859,147.2036816112462,-3.0459838519022746,-0.0,-0.0
1.74,330.2208049053929,515.3888580704084,147.1790112186886,-3.0461882676477168,-0.0,-0.0
1.76,330.21855744244726,515.305897672144,147.07816694919666,-3.046374675449606,-0.0,-0.0
1.78,330.2240691017066,515.343951782977,147.11359031844705,-3.0465091521191363,-0.0,-0.0
1.8,330.2918655345784,515.457517068921,147.15359096086996,-3.046908645145215,-0.0,-0.0
1.82,330.3339782265386,515.3874327824683,147.12518748524343,-3.047003250002823,-0.0,-0.0
1.84,330.2778653973544,515.4032610017313,147.16354831082631,-3.045775861119729,-0.0,-0.0
1.86,330.2108896066313,515.402640386832,147.1179471737017,-3.045841309802703,-0.0,-0.0
1.8800000000000001,330.2014030222979,515.3861496953849,147.09979990632797,-3.045580876195472,-0.0,-0.0
1.9000000000000001,330.2209488356798,515.4253580205271,147.08470480603418,-3.0446595884377246,-0.0,-0.0
1.92,330.3341539098604,515.366223980592,147.10132699954113,-3.0472657885129553,-0.0,-0.0
1.94,330.32204070458806,515.4201884695099,147.1396500655507,-3.047117458259444,-0.0,-0.0
1.96,330.2681964636853,515.4255296037983,147.1577591522057,-3.045987372970768,-0.0,-0.0
1.98,330.22588769961186,515.3619658526942,147.17895946212843,-3.0465927991034745,-0.0,-0.0
2.0,330.2404287148935,515.377838616706,147.1533763754259,-3.046123659336409,-0.0,-0.0
2.02,330.16926297324795,515.4863407388053,147.1320673556734,-3.04530998510164,-0.0,-0.0
2.04,330.2519447725286,515.4005252215478,147.11152417579635,-3.0462662174288817,-0.0,-0.0
2.06,330.3081056544402,515.4686337520059,147.11870503602532,-3.046440714221814,-0.0,-0.0
2.08,330.3155431482394,515.394772974177,147.18758438800225,-3.0464110473012136,-0.0,-0.0
2.1,330.27119993307883,515.3537137776143,147.16574129452414,-3.0463548688346647,-0.0,-0.0
2.12,330.20485727820187,515.4461201818888,147.21052544802916,-3.0458967240607744,-0.0,-0.0
2.14,330.2172176305358,515.3344422246897,147.14426111727303,-3.0464745807493694,-0.0,-0.0
2.16,330.20773617306514,515.3551033754109,147.15253656077854,-3.0462548726595684,-0.0,-0.0
2.18,330.26720048339115,515.5187954401895,147.2183175074744,-3.046467628705905,-0.0,-0.0
2.2,330.2877757229679,515.5240979683209,147.2056054892635,-3.0468681704858698,-0.0,-0.0
2.22,330.3115002540597,515.3154083420147,147.12621384347102,-3.0463344965751835,-0.0,-0.0
2.24,330.21477665646944,515.4686428021871,147.17012913740305,-3.04537012606257,-0.0,-0.0
2.2600000000000002,330.17061929340116,515.4406544690876,147.19805036135875,-3.046456894548202,-0.0,-0.0
2.2800000000000002,330.21972201894994,515.3544572400695,147.1385375920316,-3.0458561597043965,-0.0,-0.0
2.3000000000000003,330.16968929904885,515.4499246111436,147.18161467169563,-3.0464000731117467,-0.0,-0.0
2.32,330.2436571039969,515.513481848886,147.17490279714724,-3.0471815038763115,-0.0,-0.0
2.34,330.2639335989165,515.4664540999893,147.13347008400885,-3.047492630418855,-0.0,-0.0
2.36,330.27951634924835,515.3870178056872,147.12631633549938,-3.045717868990371,-0.0,-0.0
2.38,330.20346360937094,515.454710682801,147.16278573567695,-3.0458505770814703,-0.0,-0.0
2.4,330.216785081715,515.469517518314,147.12729326306865,-3.04454281994965,-0.0,-0.0
2.42,330.1973505087289,515.3704935267591,147.1217833865751,-3.0463868619106003,-0.0,-0.0
2.44,330.29821593175507,515.4328417040542,147.13350231822957,-3.0467788865457885,-0.0,-0.0
2.46,330.31017013802176,515.4434830049158,147.17044182101816,-3.0470035082991234,-0.0,-0.0
2.48,330.28316502284054,515.3904337944954,147.16333547562982,-3.0464187031468977,-0.0,-0.0
2.5,330.25489596084685,515.4169805808548,147.1467565918449,-3.0457661830162968,-0.0,-0.0
2.52,330.2310221560354,515.4046396856891,147.16932661077703,-3.0457557826245125,-0.0,-0.0
2.54,330.1955354883245,515.3904736055022,147.1447646554747,-3.0460447331619607,-0.0,-0.0
2.56,330.2638306231501,515.3842636677978,147.10893863183736,-3.0455273919998973,-0.0,-0.0
2.58,330.2930001634287,515.4484748809439,147.14378588399066,-3.0473825557213727,-0.0,-0.0
2.6,330.331015910655,515.3209645796414,147.08824028896942,-3.0471787001287716,-0.0,-0.0
2.62,330.25328378336434,515.3158857640934,147.13232223342962,-3.046632187709532,-0.0,-0.0
2.64,330.23058354616813,515.3901599140311,147.18151416790434,-3.0459954780017187,-0.0,-0.0
2.66,330.2127301395322,515.4018797901917,147.13518840590743,-3.0452640320421382,-0.0,-0.0
2.68,330.2096432968625,515.3512328670316,147.12592051739986,-3.0459962142034014,-0.0,-0.0
2.7,330.1852577263512,515.4105269703707,147.1443270899812,-3.0461475748784568,-0.0,-0.0
2.72,330.3013104932904,515.4200572779539,147.1466308946235,-3.0473299280770205,-0.0,-0.0
2.74,330.30173112951616,515.4058871737932,147.1799981648132,-3.0461022302672633,-0.0,-0.0
2.7600000000000002,330.2881545875805,515.4831975171292,147.149358152735,-3.0446155382982654,-0.0,-0.0
2.7800000000000002,330.2222058016184,515.4021892094878,147.1322831788891,-3.045456777420219,-0.0,-0.0
2.8000000000000003,330.2129249143464,515.3045429060029,147.0851324721697,-3.0464256555630143,-0.0,-0.0
2.82,330.1906122050393,515.382782613467,147.13718106248055,-3.04646945237342,-0.0,-0.0
2.84,330.26739107870003,515.5020728560936,147.18034095686738,-3.047224129379429,-0.0,-0.0
2.86,330.3032446083186,515.4932755723923,147.186244847324,-3.0467164557665587,-0.0,-0.0
2.88,330.30521023903987,515.4105837744123,147.1733484989757,-3.044946670897856,-0.0,-0.0
2.9,330.24546054867903,515.4230312852653,147.1518284758938,-3.0454190689499687,-0.0,-0.0
2.92,330.1389816461474,515.4908047575617,147.11637445325186,-3.045243799056805,-0.0,-0.0
2.94,330.2499949197794,515.3234684440644,146.96781289636826,-3.045368014272736,-0.0,-0.0
2.96,330.2269624849638,515.4429186468456,147.10159452060273,-3.0456835255372736,-0.0,-0.0
2.98,330.28405818418554,515.5292864145625,147.1871798416349,-3.0466887888501515,-0.0,-0.0
3.0,330.25842236243375,515.421513392252,147.16090442565323,-3.0460869284297174,-0.0,-0.0
3.02,330.17019145276674,515.4876211321863,147.19720791667632,-3.045589603276514,-0.0,-0.0
3.04,330.2045270602821,515.4036919029223,147.13152895395564,-3.0457700965373258,-0.0,-0.0
3.06,330.2198663429711,515.3424038809572,147.10872061403975,-3.0460930504931483,-0.0,-0.0
3.08,330.21799455190734,515.4758426785675,147.13731275738613,-3.0467313760486934,-0.0,-0.0
3.1,330.27849815771657,515.4619289353418,147.13863848354268,-3.0470882568105195,-0.0,-0.0
3.12,330.26532801354404,515.5120156679328,147.15321049948673,-3.0466376679510345,-0.0,-0.0
3.14,330.2521578693715,515.5621024005238,147.1677825154308,-3.0461870790915495,-0.0,-0.0
3.16,330.2045049235479,515.3896139387582,147.1915334896776,-3.046445062362953,-0.0,-0.0
3.18,330.1945504798456,515.4374759010004,147.14995812747432,-3.0458197565309595,-0.0,-0.0
3.2,330.1905487086247,515.4503175419078,147.12272637062523,-3.0454851412828647,-0.0,-0.0
3.22,330.20159201978856,515.4127182520369,147.07087180328463,-3.0455865435288962,-0.0,-0.0
3.24,330.3173249212134,515.3975373891478,147.14611671098567,-3.047021388522501,-0.0,-0.0
3.2600000000000002,330.29978347676723,515.4046576478968,147.14857262819623,-3.0469972784115305,-0.0,-0.0
3.2800000000000002,330.28224203232105,515.4117779066459,147.15102854540683,-3.04697316830056,-0.0,-0.0
3.3000000000000003,330.24625769188674,515.3058002684957,147.11667742031779,-3.0464576159648646,-0.0,-0.0
3.3200000000000003,330.2351291574742,515.4175263108058,147.10404979367812,-3.0452068729952906,-0.0,-0.0
3.34,330.2090036204506,515.4281596697065,147.09441398205539,-3.046017514526061,-0.0,-0.0
3.36,330.31072710459654,515.4652381928462,147.14738541915884,-3.0468406515772326,-0.0,-0.0
3.38,330.3412686806321,515.4159658246309,147.1253566562796,-3.046527942460687,-0.0,-0.0
3.4,330.27932535845673,515.3865878775479,147.096823876219,-3.0457987701748466,-0.0,-0.0
3.42,330.25394639193894,515.4021020364148,147.10457492533072,-3.0457438894735676,-0.0,-0.0
3.44,330.2175266673559,515.3093570392404,147.11864121836913,-3.0465639035337615,-0.0,-0.0
3.46,330.2019814194079,515.3498551363598,147.0779088406674,-3.0460909566389045,-0.0,-0.0
3.48,330.2035474418041,515.4962150243381,147.1814570797012,-3.046917873245755,-0.0,-0.0
3.5,330.3318631814198,515.3625720366115,147.11541391679285,-3.046950169986424,-0.0,-0.0
3.52,330.2810248092777,515.392787244465,147.09646409085366,-3.04572807479582,-0.0,-0.0
3.54,330.2299001798992,515.4167055413095,147.1229125507214,-3.045776499461012,-0.0,-0.0
3.56,330.2076293613806,515.390746916451,147.1135193281413,-3.0458103995921517,-0.0,-0.0
3.58,330.20691796982607,515.3733866753989,147.08469040701542,-3.0457974216150743,-0.0,-0.0
3.6,330.23364621791217,515.3437378413353,147.09148254014323,-3.045782724534757,-0.0,-0.0
3.62,330.2353903261419,515.3404861456148,147.08746612375182,-3.046012993414809,-0.0,-0.0
