t,x,y,z,yaw,joy_throttle,joy_steering
0.0,402.1290028743512,3636.7004845528227,138.64157585280185,-1.6187088987277063,-0.0,-0.0
0.02,402.21869185307975,3636.614826811201,138.65187543426816,-1.6180745689877023,-0.0,-0.0
0.04,402.19902194614673,3636.6104558482784,138.65144860989693,-1.6179325557871649,-0.0,-0.0
0.06,402.17784752858915,3636.613059036958,138.65393391098183,-1.6181097902110904,-0.0,-0.0
0.08,402.1370044990352,3636.720705603911,138.67316539352254,-1.6189165389056097,-0.0,-0.0
0.1,402.16703026519804,3636.716701256303,138.68675347121936,-1.6187617342786444,-0.0,-0.0
0.12,402.1845217150463,3636.682461637604,138.70410968713867,-1.6185184610549828,-0.0,-0.0
0.14,402.21576453770865,3636.644257633804,138.68590529079412,-1.6183643328991688,-0.0,-0.0
0.16,402.2106037884536,3636.6579286216543,138.65951576320413,-1.6184159287290956,-0.0,-0.0
0.18,402.185185531672,3636.6150787379843,138.68289930434935,-1.6180910391889145,-0.0,-0.0
0.2,402.1407493051522,3636.6725430869733,138.6356473344232,-1.6184918548676845,-0.0,-0.0
0.22,402.14732467194057,3636.737419021889,138.66387540299957,-1.6189216769772308,-0.0,-0.0
0.24,402.1649491673388,3636.7484235403936,138.7019092982739,-1.6185443123137557,-0.0,-0.0
0.26,402.19714966448095,3636.6434064904843,138.69961504076048,-1.618055506686707,-0.0,-0.0
0.28,402.21505045810744,3636.627315321417,138.63076318186927,-1.6180994976175878,-0.0,-0.0
0.3,402.1912267875354,3636.6082278724743,138.6650362803239,-1.6181446654089098,-0.0,-0.0
0.32,402.16643411492777,3636.6080051438207,138.66764605982812,-1.6182154649063647,-0.0,-0.0
0.34,402.1322874989037,3636.709927041019,138.65424920334826,-1.6187056732984726,-0.0,-0.0
0.36,402.1547184701388,3636.73729084479,138.66886958652066,-1.618619568025846,-0.0,-0.0
0.38,402.17253138911536,3636.7085521381514,138.683530009633,-1.6184003873742145,-0.0,-0.0
0.4,402.18416690455433,3636.633854146879,138.65052840013163,-1.6181262591653074,-0.0,-0.0
0.42,402.2107601457331,3636.643965185971,138.61279747448768,-1.6180159496576938,-0.0,-0.0
0.44,402.19783247922146,3636.631718110476,138.6609895887553,-1.6182583275583329,-0.0,-0.0
0.46,402.1350181712121,3636.6405229411325,138.6661948266555,-1.6181959688153758,-0.0,-0.0
0.48,402.1408783113457,3636.717742718302,138.69282626684446,-1.6188558614082744,-0.0,-0.0
0.5,402.1805729678529,3636.7044389031653,138.67027972597955,-1.6185324978950284,-0.0,-0.0
0.52,402.21979678687575,3636.6589188676057,138.6852917492077,-1.6180442310893222,-0.0,-0.0
0.54,402.23243012217193,3636.6591612562247,138.67156443484922,-1.618117922999362,-0.0,-0.0
