t_bag,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,linear_x_pct,angular_z_pct
0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.04793071746826172,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.10209035873413086,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.14381790161132812,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.20444583892822266,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.26818275451660156,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.3264610767364502,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.39617085456848145,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.4565761089324951,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.5488009452819824,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.6140570640563965,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.7165811061859131,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.7511942386627197,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.8192763328552246,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.8511719703674316,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.9060652256011963,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.9518852233886719,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.9998071193695068,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.067793846130371,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.1029202938079834,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.1653878688812256,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.2045512199401855,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.2664122581481934,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.3184332847595215,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.428443193435669,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.4561080932617188,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.5070350170135498,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.5535802841186523,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.6117894649505615,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.6755034923553467,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.7045559883117676,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.7688796520233154,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.808595895767212,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.9302308559417725,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.9673287868499756,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.018387794494629,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.0616116523742676,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.117032289505005,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.161681652069092,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.2189993858337402,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.282747983932495,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.3120768070220947,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.415863513946533,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.474215269088745,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.521104097366333,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.5730791091918945,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.637173891067505,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.6687347888946533,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2.764521598815918,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
